run,experiment,users,n,ttft_mean,ttft_p50,ttft_p99,tpot_mean,tpot_p50,e2e_mean,itl_p50,itl_p99,gpu_util_mean,vram_mean_mb,vram_util_pct,power_mean_w,temp_mean_c,kv_cache_mean_pct,requests_waiting_mean,gen_throughput_mean
run1,baseline,1,5,77.39572033329347,75.3039283332934,91.5141966599367,56.41569578954199,56.42095390588176,14463.398146666505,56.4022181107349,57.381900586672906,93.33333333333333,21440.0,93.1,68.97133333333333,65.28888888888889,0.20777777777777778,0.0,16.645454545454545
run1,baseline,4,20,142.63415813815666,147.20866549987477,178.3307287201751,57.563444399571665,57.54280604967172,14766.405032697623,57.45421771890138,60.00222904379487,97.77777777777777,21440.0,93.1,70.60622222222223,77.24444444444444,0.9155555555555556,0.0,64.89318181818182
run1,baseline,8,40,180.26471911800118,178.1831053328157,261.568983499792,57.922380729584944,57.88587024444496,14866.45335231233,57.77247358300048,62.18232548926965,95.55555555555556,21440.0,93.1,70.69644444444445,76.53333333333333,1.6075555555555556,0.0,128.0340909090909
run1,chunked_prefill,1,5,78.42102916674776,78.42102916674776,96.89627392954208,56.53828004902084,56.53828004902084,14495.682441667062,56.53738966672487,57.394190006749945,93.0,21418.0,93.0,68.968,76.86666666666666,0.24533333333333332,0.0,16.44090909090909
run1,chunked_prefill,4,20,151.45490923717227,158.85766550006034,191.66062760941713,57.417077870163176,57.38651483268031,14750.205959266686,57.382941796149005,58.87809852226807,95.55555555555556,21418.0,93.0,70.18177777777777,76.71111111111111,0.7708888888888888,0.0,64.51136363636364
run1,chunked_prefill,8,40,180.62782227054936,172.2166176665875,276.9296289394697,57.86067360419122,57.836498615687276,14857.678605546404,57.691325813774796,62.29862242610677,95.55555555555556,21418.0,93.0,70.70755555555556,76.55555555555556,1.65,0.0,128.09772727272727
run1,chunked_prefill_plus_prefix_cache,1,5,82.35569049975311,82.35569049975311,92.97848099959084,56.53884510849904,56.53884510849904,14499.761193167009,56.534538000050816,57.44740908006861,93.77777777777777,21418.0,93.0,69.02266666666667,76.93333333333334,0.21133333333333332,0.0,16.331818181818182
run1,chunked_prefill_plus_prefix_cache,4,20,144.4794008097796,157.94692466655155,226.3816444008262,57.451765532933884,57.46371750326682,14739.845445025043,57.390630380788416,59.11059999019511,95.93333333333334,21418.0,93.0,70.44844444444445,76.57777777777778,0.8524444444444444,0.0,64.80227272727274
run1,chunked_prefill_plus_prefix_cache,8,40,162.910096050945,159.89007833347083,220.75780727001984,57.710437900474744,57.67723219869248,14851.568191652754,57.65317590806589,60.07989145468042,97.77777777777777,21418.0,93.0,71.11533333333334,76.73333333333333,1.6015555555555554,0.0,128.12045454545455
run1,chunked_prefill_plus_prefix_cache,16,80,163.56323498221175,166.93864466742525,192.492067140156,58.76894393181149,58.863782974511345,15129.439203123875,58.67171509686179,63.235199264033604,95.55555555555556,21418.0,93.0,70.62311111111111,76.55555555555556,2.981333333333333,0.0,253.1090909090909
run1,gpu_mem_80,1,5,75.14005708374802,71.60627125085739,98.1107105405681,56.54811867353048,56.552453914706604,14494.91031883402,56.539163250060184,57.34978867190573,91.11111111111111,19136.0,83.1,68.96222222222222,76.95555555555555,0.37288888888888894,0.0,16.395454545454545
run1,gpu_mem_80,4,20,139.61897286676336,147.55779983352113,188.6892300794716,57.60160801260714,57.63273608039276,14828.029016081584,57.520840888564294,59.56692343785162,97.77777777777777,19136.0,83.1,70.6708888888889,76.53333333333333,1.8048888888888888,0.0,64.75454545454545
run1,gpu_mem_80,8,40,177.79285796450395,173.78130716648835,234.38204999933077,57.96152625197747,57.95721737712501,14912.336408263816,57.78529497835304,62.468393303701625,97.77777777777777,19136.0,83.1,71.09244444444444,76.68888888888888,3.4277777777777776,0.0,128.12272727272727
run1,gpu_mem_95,1,5,73.82181787443187,71.0213432494129,96.71130810978866,56.554959573040655,56.55723694019744,14495.336508999799,56.53652187515945,57.491454902265104,91.11111111111111,22552.0,97.9,68.66066666666667,76.88888888888889,0.14777777777777779,0.0,16.29090909090909
run1,gpu_mem_95,4,20,152.43266174066878,164.9521953331714,202.77005336087313,57.568155912912374,57.55152842679653,14832.312419533324,57.490758407193766,58.90369893787041,95.55555555555556,22552.0,97.9,70.39244444444444,76.55555555555556,0.6795555555555555,0.0,64.81136363636364
run1,gpu_mem_95,8,40,184.64934106749476,178.32385183343527,275.2144465598394,58.03630977954649,58.01505376536441,14983.908334851852,57.88428642988318,61.933566282169615,95.55555555555556,22552.0,97.9,70.81511111111111,76.6,1.3659999999999999,0.0,127.6590909090909
run1,gpu_mem_95,16,80,212.16271152078056,191.28876983268128,350.5479779891357,58.770187038201385,58.767082166512246,15173.98836655203,58.46431865637669,66.99489243295606,95.55555555555556,22552.0,97.9,70.902,76.64444444444445,2.570666666666667,0.0,252.02272727272728
run1,max_seqs_32,1,5,83.10510716728459,83.10510716728459,97.24379700128338,56.52593026797167,56.52593026797167,14497.21732550006,56.51762616647223,57.174618463438186,91.11111111111111,20714.0,89.9,68.82733333333333,76.44444444444444,0.192,0.0,16.513636363636365
run1,max_seqs_32,8,40,161.61404025643142,166.93255133304774,212.95295864001676,58.00406072360578,57.98342760653588,14926.853345167396,57.88914248405728,62.28600259489681,97.02222222222223,20716.577777777777,89.9,70.51644444444445,76.71111111111111,1.3735555555555556,0.0,128.275
