Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,6,0,9.137149999332905,9.850263166754303,9.137149999332905,12.368618000436982,0.0,0.05429688032142977,0.0,9,9,9,9,12,12,12,12,12,12,12
POST,chat/medium,21,0,9,14.567433999867976,7.679862000259163,31.68086699952255,0.0,0.1900390811250042,0.0,9,10,27,28,29,29,32,32,32,32,32
POST,chat/short,29,0,9,12.631056275934277,7.927974000267568,33.17375799997535,0.0,0.2624349215535772,0.0,9,10,10,11,30,31,33,33,33,33,33
,Aggregated,56,0,9,13.059255803568703,7.679862000259163,33.17375799997535,0.0,0.5067708830000112,0.0,9,10,11,12,29,31,32,33,33,33,33
