timestamp,category,input_tokens,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
11041.186834819,short,280,256,131.23402900055225,60.65970327450914,15599.458364000384,58.54484100018453,60.32729609923991,length,True,
11041.185146126,short,280,256,728.356725001504,58.55504775293715,15659.893902000476,58.546221000142395,60.004893059667666,length,True,
11041.187626334,short,285,256,726.18216400042,58.55489916470748,15657.681451000826,58.53694700090273,59.80271803939104,length,True,
11041.182469271,short,290,256,731.2167470008717,58.55620560784397,15663.049177001085,58.543261999147944,59.83129407944944,length,True,
11041.183460668,short,275,256,730.291750998731,58.55680086666931,15662.275971999406,58.538237999528064,59.690212760469876,length,True,
11041.184272964,short,280,256,729.5883080005297,58.557109447058025,15661.651217000326,58.53232899971772,59.80248618056066,length,True,
11041.185980053,medium,340,256,727.9319369990844,58.557811219611274,15660.17379799996,58.56411599961575,59.898900600819616,length,True,
11041.181185769,short,270,256,732.7800929997466,58.5583605843139,15665.162041999793,58.530571001028875,60.25144443898171,length,True,
11057.384982717,medium,340,256,128.15533300090465,60.51386299607425,15559.190396999838,58.631499001421616,126.46434997986954,length,True,
11057.598532922,medium,350,256,205.54886199897737,60.29047264705963,15579.619386999184,58.61193300006562,125.47770675922959,length,True,
11057.624176175,short,290,256,384.1299979994801,59.729941219605585,15615.265008998904,58.62606200025766,89.18726065916461,length,True,
11057.647829486,medium,340,256,360.6180119986675,59.73068957255415,15591.943852999975,58.61189899951569,89.24954363945334,length,True,
11057.924468961,short,285,256,261.08861499960767,59.47650808235516,15427.598176000174,58.62116399839579,63.09172146058701,length,True,
11058.059803858,short,285,256,317.5482530004956,59.17779886667096,15407.886964001591,58.622290000130306,62.05044209978951,length,True,
11058.261561279,short,280,256,381.3819719998719,58.585067294117444,15320.57413199982,58.56186299934052,61.61172641961458,length,True,
11058.330907651,short,290,256,311.87688000136404,58.586743450980386,15251.496460001363,58.612373999494594,61.975415800152405,length,True,
11073.904481628,short,280,256,100.76069199931226,60.54084638039343,15538.676518999637,58.54474900115747,134.6608854608713,length,True,
11074.01850037,short,280,256,219.44161600004009,60.31828988235051,15600.60553599942,58.563665001202025,134.75148741927123,length,True,
11074.309381583,short,280,256,216.8398989997513,60.10542530980898,15543.723353001042,58.56899600075849,134.77771008070712,length,True,
11074.460781235,short,285,256,244.1510879998532,59.8626445058828,15509.125436999966,58.564585000567604,134.6114880589085,length,True,
11074.542396868,short,270,256,302.09968499912065,59.54482330980325,15486.02962899895,58.54884099971969,94.37308148084466,length,True,
11074.620636109,medium,350,256,370.7731849990523,59.19439800391938,15465.344675998494,58.55693100056669,61.74162660099685,length,True,
11074.775327676,short,280,256,346.45825900042837,58.905613364706866,15367.38966700068,58.564838000165764,59.955341560453235,length,True,
11074.956969377,short,280,256,307.1540949986229,58.568334364705755,15242.079357998591,58.53738299992983,59.77125647983485,length,True,
11090.517654004,short,280,256,121.49540000064007,60.61649985098413,15578.702862001592,58.606290998795885,141.219567759581,length,True,
11090.832214927,short,285,256,206.8678750001709,60.429745074504225,15616.45286899875,58.59769500057155,141.21953792007847,length,True,
11090.899801795,medium,340,256,344.9799339996389,59.8518011137297,15607.189218000713,58.59914199936611,133.41949524012315,length,True,
11090.89458457,medium,330,256,350.0989219992334,59.854301992156394,15612.945929999114,58.60219999885885,133.54942459984167,length,True,
11090.949416166,short,280,256,423.41171499901975,59.57402223529974,15614.787385000454,58.57809400004044,96.56967845934624,length,True,
11091.080239898,short,275,256,435.3050549998443,59.239975403925555,15541.498783000861,58.613705999960075,59.70466693990602,length,True,
11091.280214563,medium,330,256,378.121858000668,58.90387886274588,15398.610968000867,58.58457600152178,59.497524759499356,length,True,
11091.407064609,short,275,256,391.2881349988311,58.57609416078976,15328.19214600022,58.583676000125706,59.40900517995033,length,True,
11107.419787165,short,280,256,119.03543200060085,60.62645453725161,15578.781338999761,58.5930430006556,125.41705873962201,length,True,
11107.441603658,medium,330,256,275.7453100002749,60.38756521176016,15674.574438999116,58.60815100095351,125.32556915932219,length,True,
11107.545039257,short,270,256,297.3131769995234,60.12544265882467,15629.301054999814,58.610861999113695,91.89748673987245,length,True,
11107.591376306,short,270,256,453.6109590007982,59.5613625490146,15641.758408999522,58.59909999890078,62.266184700638426,length,True,
11107.603765846,medium,330,256,441.39596999957575,59.56178223921098,15629.650440998375,58.60264799957804,62.287998859901585,length,True,
11107.711453038,short,275,256,459.22212400000717,59.291151133334544,15578.465663000316,58.59630300074059,60.989574839768466,length,True,
11107.888067025,short,290,256,521.6174390006927,58.58005128627387,15459.53051700053,58.595278998836875,60.56317651997234,length,True,
11107.870680636,medium,350,256,538.7072159992385,58.582277376469804,15477.187946999038,58.59116799911135,60.62656180005434,length,True,
