Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,41,0,17,19.035608121800866,7.882660000177566,49.289039001450874,0.0,0.11302966809138441,0.0,17,21,22,25,31,34,49,49,49,49,49
POST,chat/medium,3,0,9,9.797603333330093,8.69946000238997,11.407089998101583,0.0,0.008270463518881787,0.0,9,9,11,11,11,11,11,11,11,11,11
POST,chat/short,1,0,7.793449000018882,7.793449000018882,7.793449000018882,7.793449000018882,0.0,0.0027568211729605955,0.0,8,8,8,8,8,8,8,8,8,8,8
,Aggregated,45,0,17,18.169915377640994,7.793449000018882,49.289039001450874,0.0,0.1240569527832268,0.0,17,20,22,25,31,34,49,49,49,49,49
