timestamp,category,input_tokens,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
7796.112771644,medium,58,256,78.3267810002144,57.37666002353174,14709.375087000808,57.34663999919576,58.6694138202438,length,True,
7796.113778014,medium,57,256,143.63508299993555,57.341976764705485,14765.839157999835,57.360683000297286,58.19415518006281,length,True,
7796.111902581,medium,60,256,145.5884459992376,57.342772235296806,14767.995365999923,57.33653599963873,58.476295420132374,length,True,
7796.110542529,short,13,256,147.00874099980865,57.34355809411985,14769.61605500037,57.33928900008323,58.417256160155375,length,True,
7811.443692947,medium,58,256,74.32886500009772,57.539883525489984,14746.999164000044,57.39616299979389,62.73831869941205,length,True,
7811.503598573,long,148,256,153.95194200027618,57.44256598431379,14801.806268000291,57.40516599962575,60.69450227985729,length,True,
7811.920705632,medium,55,256,146.09417199972086,57.410629725489024,14785.804751999422,57.37317300008726,58.82448018033757,length,True,
7812.030279191,short,13,256,156.52754900020227,57.38175513725568,14788.8751090004,57.39086099947599,58.17825612024535,length,True,
7827.510270428,short,11,236,147.84209200024634,57.65281969787348,13696.254721000514,57.376695000129985,59.33971157950509,stop,True,
7827.181155292,medium,53,256,73.03850800053624,57.4162884509789,14714.192063000155,57.38460300017323,60.29237608023323,length,True,
7827.402282407,short,10,256,135.87004200053343,57.431708929410284,14780.955819000155,57.373595999706595,60.20373244013173,length,True,
7827.820272662,medium,57,256,130.6986740000866,57.389986086273694,14765.14512599988,57.36690799949429,59.38974853974287,length,True,
7841.792387099,short,11,256,161.02906000014627,57.906002584312255,14927.059718999772,57.66949200005911,59.64080284022202,length,True,
7842.72730831,short,10,256,140.28905299983307,58.05920107843264,14945.385328000157,57.68187600006058,71.87086934020066,length,True,
7843.027447876,long,131,256,155.33374400001776,57.96318086666396,14935.944864999328,57.6751830003559,59.62987257975328,length,True,
7843.853252406,long,139,256,172.74541799997678,57.817041768626666,14916.091068999776,57.66778900033387,58.94046726001761,length,True,
7857.514995364,long,142,256,157.45037699980458,57.62355093333206,14851.45586499948,57.42754599941691,59.374717460050306,length,True,
7858.344972612,short,13,256,135.50496400057455,57.604559309801715,14824.667588000011,57.42513599943777,59.29963695980405,length,True,
7858.686301776,long,139,256,178.56345000018337,57.44725699607764,14827.613983999981,57.44753499948274,59.173886799962936,length,True,
7859.638500387,medium,61,256,152.2699469996951,57.42945163529643,14796.780114000285,57.41714600026171,59.02403442032664,length,True,
