Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,1,0,7.72556700030691,7.72556700030691,7.72556700030691,7.72556700030691,0.0,0.013133554899404841,0.0,8,8,8,8,8,8,8,8,8,8,8
POST,chat/medium,1,0,7.3385859996051295,7.3385859996051295,7.3385859996051295,7.3385859996051295,0.0,0.013133554899404841,0.0,7,7,7,7,7,7,7,7,7,7,7
POST,chat/short,3,0,9,14.42573666675647,6.751226000233146,27.754182000535366,0.0,0.03940066469821452,0.0,9,9,28,28,28,28,28,28,28,28,28
,Aggregated,5,0,8,11.668272600036289,6.751226000233146,27.754182000535366,0.0,0.0656677744970242,0.0,8,9,9,28,28,28,28,28,28,28,28
