Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772792351,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792352,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792353,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792354,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792355,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792356,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792357,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792358,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792359,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792360,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792361,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792362,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792363,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792364,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792365,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792366,4,POST,chat/long,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,14.084254999033874,14.084254999033874,14.084254999033874,14.084254999033874,0.0
1772792366,4,POST,chat/medium,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,15.831804999834276,15.831804999834276,15.831804999834276,15.831804999834276,0.0
1772792366,4,POST,chat/short,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,12.053012000251329,12.169497499598947,12.053012000251329,12.285982998946565,0.0
1772792366,4,,Aggregated,0.000000,0.000000,14,14,16,16,16,16,16,16,16,16,16,4,0,12.053012000251329,13.56376374951651,12.053012000251329,15.831804999834276,0.0
1772792367,4,POST,chat/long,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,14.084254999033874,14.084254999033874,14.084254999033874,14.084254999033874,0.0
1772792367,4,POST,chat/medium,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,15.831804999834276,15.831804999834276,15.831804999834276,15.831804999834276,0.0
1772792367,4,POST,chat/short,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,12.053012000251329,12.169497499598947,12.053012000251329,12.285982998946565,0.0
1772792367,4,,Aggregated,0.000000,0.000000,14,14,16,16,16,16,16,16,16,16,16,4,0,12.053012000251329,13.56376374951651,12.053012000251329,15.831804999834276,0.0
1772792368,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,14.084254999033874,14.084254999033874,14.084254999033874,14.084254999033874,0.0
