timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T10:22:25.047Z,0,21418,23034,93.0,33.66,72
2026-03-06T10:22:27.108Z,100,21418,23034,93.0,72.26,74
2026-03-06T10:22:29.161Z,100,21418,23034,93.0,71.79,74
2026-03-06T10:22:31.235Z,100,21418,23034,93.0,71.89,74
2026-03-06T10:22:33.294Z,100,21418,23034,93.0,71.94,75
2026-03-06T10:22:35.349Z,100,21418,23034,93.0,71.99,75
2026-03-06T10:22:37.404Z,100,21418,23034,93.0,71.93,75
2026-03-06T10:22:39.467Z,100,21418,23034,93.0,72.10,76
2026-03-06T10:22:41.522Z,0,21418,23034,93.0,51.56,74
2026-03-06T10:22:43.576Z,100,21418,23034,93.0,71.47,76
2026-03-06T10:22:45.631Z,100,21418,23034,93.0,71.96,77
2026-03-06T10:22:47.689Z,100,21418,23034,93.0,71.95,77
2026-03-06T10:22:49.748Z,100,21418,23034,93.0,71.93,77
2026-03-06T10:22:51.801Z,100,21418,23034,93.0,71.94,78
2026-03-06T10:22:53.857Z,100,21418,23034,93.0,72.07,78
2026-03-06T10:22:55.913Z,100,21418,23034,93.0,71.91,78
2026-03-06T10:22:57.967Z,100,21418,23034,93.0,71.83,78
2026-03-06T10:23:00.035Z,100,21418,23034,93.0,72.10,78
2026-03-06T10:23:02.091Z,100,21418,23034,93.0,71.99,78
2026-03-06T10:23:04.144Z,100,21418,23034,93.0,71.99,78
2026-03-06T10:23:06.198Z,100,21418,23034,93.0,71.96,78
2026-03-06T10:23:08.252Z,100,21418,23034,93.0,71.91,78
2026-03-06T10:23:10.309Z,100,21418,23034,93.0,72.00,78
2026-03-06T10:23:12.364Z,100,21418,23034,93.0,72.01,78
2026-03-06T10:23:14.428Z,100,21418,23034,93.0,71.43,78
2026-03-06T10:23:16.480Z,100,21418,23034,93.0,72.00,78
2026-03-06T10:23:18.533Z,100,21418,23034,93.0,71.99,78
2026-03-06T10:23:20.586Z,100,21418,23034,93.0,71.97,78
2026-03-06T10:23:22.641Z,100,21418,23034,93.0,71.91,77
2026-03-06T10:23:24.705Z,100,21418,23034,93.0,71.97,77
2026-03-06T10:23:26.758Z,100,21418,23034,93.0,72.00,77
2026-03-06T10:23:28.811Z,100,21418,23034,93.0,72.00,77
2026-03-06T10:23:30.866Z,100,21418,23034,93.0,71.79,77
2026-03-06T10:23:32.919Z,100,21418,23034,93.0,71.93,77
2026-03-06T10:23:34.979Z,100,21418,23034,93.0,71.85,77
2026-03-06T10:23:37.036Z,100,21418,23034,93.0,72.03,76
2026-03-06T10:23:39.092Z,100,21418,23034,93.0,71.96,76
2026-03-06T10:23:41.146Z,100,21418,23034,93.0,71.92,76
2026-03-06T10:23:43.200Z,100,21418,23034,93.0,71.91,76
2026-03-06T10:23:45.265Z,100,21418,23034,93.0,71.96,76
2026-03-06T10:23:47.318Z,100,21418,23034,93.0,71.47,76
2026-03-06T10:23:49.385Z,100,21418,23034,93.0,71.85,76
2026-03-06T10:23:51.439Z,100,21418,23034,93.0,72.00,76
2026-03-06T10:23:53.494Z,100,21418,23034,93.0,71.90,76
2026-03-06T10:23:55.548Z,100,21418,23034,93.0,72.06,76
