model,quantization,experiment,users,ttft_p50,tpot_p50,e2e_p50,arc_score,mmlu_score,gsm8k_score
DeepSeek-R1,No Quant (FP16),baseline,16,468.018124000082,68.99320365779052,71381.80182199995,0.526,0.5929824561403508,0.8
DeepSeek-R1,No Quant (FP16),baseline,64,758.6217609996311,111.0828553733336,151674.7387380001,0.526,0.5929824561403508,0.8
DeepSeek-R1,BitsAndBytes,bitsandbytes_quantization,16,689.2980084999181,137.92296921354506,200770.1520634996,0.516,0.5929824561403508,
DeepSeek-R1,FP8,fp8_quantization,16,338.3778449997408,44.719202263157705,46502.93224500001,0.518,0.5789473684210527,0.785
DeepSeek-R1,FP8,fp8_quantization,64,436.3847069998883,76.27596656942382,98972.91688950008,0.518,0.5789473684210527,0.785
Qwen2.5,No Quant (FP16),non_reasoning_baseline,16,574.4702349984436,71.78466043265918,41955.172554000455,0.662,0.7824561403508772,0.881
Qwen2.5,No Quant (FP16),non_reasoning_baseline,64,671.9716100014921,127.26130016118884,77512.3597899983,0.662,0.7824561403508772,0.881
Qwen2.5,FP8,non_reasoning_fp8,16,403.05179999995744,69.61540197802466,39369.00186999992,0.67,0.7789473684210526,0.879
