experiment,users,category,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p99,e2e_mean,e2e_p50,e2e_p99,itl_p50_mean,itl_p99_mean,output_tokens
qwen3_kv_cache_auto,16,long,116,573.5568315864431,374.7089245043753,741.9202330020198,7574.855840696887,58.147661978133506,57.916835857963505,71.83390989102347,46338.9380496812,42446.600678500545,145423.7185401481,53.44063758648503,179.38057721743044,92185
qwen3_kv_cache_auto,16,medium,14,235.86913557093274,173.15327350297594,513.4407662961166,571.740378057584,56.817753679225994,58.07787863233658,60.08679160772079,21227.439154357333,13937.213531000452,53124.70953530813,52.839203142606756,191.5197134308044,5172
qwen3_kv_cache_auto,16,short,1,166.9194679998327,166.9194679998327,166.9194679998327,166.9194679998327,65.88354255574005,65.88354255574005,65.88354255574005,759.8713510014932,759.8713510014932,759.8713510014932,53.934108997054864,102.89202767657116,10
qwen3_kv_cache_auto,32,long,156,486.2586736797731,452.7147339977091,757.004766495811,2143.9483499012485,79.49540177065877,79.94470782148778,97.49658491141935,74527.37279325625,67050.45786349729,249276.32695485,72.13640392950391,343.1492663205048,145344
qwen3_kv_cache_auto,32,medium,8,332.2681531253693,259.63894199958304,618.3107829991059,622.4696061979193,79.51661854322131,80.37762602923252,99.97872997621907,19139.22647662457,8719.42830449916,48465.426656765194,72.94459949844168,233.10742765866985,1853
qwen3_kv_cache_auto,32,short,2,231.1648270006117,231.1648270006117,236.0658310008148,236.50147580083285,86.6967694091525,86.6967694091525,87.35288637628764,3131.15480599663,3131.15480599663,3656.0966599336825,71.29849399825616,309.3051971444581,69
qwen3_kv_cache_auto,64,long,201,29461.959971935008,30992.66966700088,70355.90988499462,79297.21835700184,100.61333147058882,100.5920450047168,136.64324200584156,116397.84905161668,111324.66813400242,272732.7135509986,84.38065711184277,485.1569729750774,176254
qwen3_kv_cache_auto,64,medium,30,26490.618576566823,28867.10207649594,57828.29745449962,72503.91629582855,114.74990626120099,101.38659833230852,337.87668818764155,70926.54238246687,73322.72212799944,172145.73348575638,84.40932641678955,748.8537562428756,13092
qwen3_kv_cache_auto,64,short,3,16961.66114300043,15153.2523019996,33524.60977819865,35157.61933163856,134.66888605102812,117.3761112412282,220.4825524922416,36404.67757766601,19382.400848000543,87695.23889403863,75.79839699853135,915.0716052581025,487
qwen3_kv_cache_auto,128,long,118,104529.00786156743,142622.75583800147,175672.76790719441,179360.04003834713,104.24080413195286,102.01970711167229,159.01508312803273,192149.7496791183,189818.5192490018,379431.97116355837,85.61909520535548,525.937661957268,101136
qwen3_kv_cache_auto,128,medium,11,131860.07163518,164445.52939599816,177502.76647199644,179291.29903439898,106.91853518896211,104.04084935329658,125.29125737943961,176241.4912524526,192641.9226109938,277648.13639009953,86.35547304451889,510.4588342890665,4666
