Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,204,0,14,14.979453097754124,7.580330995551776,40.489769002306275,0.0,0.4013662670001494,0.0,14,16,18,19,22,26,31,34,40,40,40
POST,chat/medium,11,0,9,8.874373546198264,6.935460005479399,10.45399000577163,0.0,0.021642298710792367,0.0,9,10,10,10,10,10,10,10,10,10,10
POST,chat/short,8,0,8,8.891442502317659,7.938170005218126,14.06326000142144,0.0,0.015739853607848995,0.0,8,8,8,8,14,14,14,14,14,14,14
,Aggregated,223,0,14,14.459901708379208,6.935460005479399,40.489769002306275,0.0,0.4387484193187907,0.0,14,16,18,19,21,25,31,34,40,40,40
