timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T08:51:14.653Z,0,21418,23034,93.0,33.87,72
2026-03-06T08:51:16.714Z,100,21418,23034,93.0,71.16,74
2026-03-06T08:51:18.769Z,100,21418,23034,93.0,71.90,74
2026-03-06T08:51:20.827Z,100,21418,23034,93.0,71.99,74
2026-03-06T08:51:22.879Z,100,21418,23034,93.0,72.01,75
2026-03-06T08:51:24.938Z,100,21418,23034,93.0,72.01,75
2026-03-06T08:51:26.990Z,100,21418,23034,93.0,71.94,75
2026-03-06T08:51:29.043Z,100,21418,23034,93.0,71.96,76
2026-03-06T08:51:31.096Z,0,21418,23034,93.0,48.20,74
2026-03-06T08:51:33.149Z,100,21418,23034,93.0,71.46,76
2026-03-06T08:51:35.200Z,100,21418,23034,93.0,71.86,77
2026-03-06T08:51:37.254Z,100,21418,23034,93.0,71.92,77
2026-03-06T08:51:39.307Z,100,21418,23034,93.0,71.96,77
2026-03-06T08:51:41.360Z,100,21418,23034,93.0,71.93,78
2026-03-06T08:51:43.412Z,100,21418,23034,93.0,71.96,78
2026-03-06T08:51:45.465Z,100,21418,23034,93.0,71.98,78
2026-03-06T08:51:47.518Z,100,21418,23034,93.0,71.99,78
2026-03-06T08:51:49.582Z,100,21418,23034,93.0,72.04,78
2026-03-06T08:51:51.636Z,100,21418,23034,93.0,72.00,78
2026-03-06T08:51:53.700Z,100,21418,23034,93.0,71.93,78
2026-03-06T08:51:55.755Z,100,21418,23034,93.0,71.91,78
2026-03-06T08:51:57.808Z,100,21418,23034,93.0,72.00,78
2026-03-06T08:51:59.872Z,100,21418,23034,93.0,72.03,78
2026-03-06T08:52:01.925Z,100,21418,23034,93.0,71.99,78
2026-03-06T08:52:03.978Z,100,21418,23034,93.0,72.32,78
2026-03-06T08:52:06.032Z,100,21418,23034,93.0,72.05,78
2026-03-06T08:52:08.089Z,100,21418,23034,93.0,72.06,78
2026-03-06T08:52:10.147Z,100,21418,23034,93.0,72.07,78
2026-03-06T08:52:12.201Z,100,21418,23034,93.0,71.99,78
2026-03-06T08:52:14.255Z,100,21418,23034,93.0,72.04,77
2026-03-06T08:52:16.309Z,100,21418,23034,93.0,71.96,77
2026-03-06T08:52:18.363Z,100,21418,23034,93.0,71.92,77
2026-03-06T08:52:20.419Z,100,21418,23034,93.0,71.08,77
2026-03-06T08:52:22.471Z,100,21418,23034,93.0,72.04,77
2026-03-06T08:52:24.534Z,100,21418,23034,93.0,71.98,77
2026-03-06T08:52:26.586Z,100,21418,23034,93.0,71.96,77
2026-03-06T08:52:28.639Z,100,21418,23034,93.0,72.00,77
2026-03-06T08:52:30.694Z,100,21418,23034,93.0,72.01,76
2026-03-06T08:52:32.747Z,100,21418,23034,93.0,71.99,76
2026-03-06T08:52:34.809Z,100,21418,23034,93.0,71.27,76
2026-03-06T08:52:36.863Z,100,21418,23034,93.0,71.96,76
2026-03-06T08:52:38.915Z,100,21418,23034,93.0,71.98,76
2026-03-06T08:52:40.968Z,100,21418,23034,93.0,71.97,76
2026-03-06T08:52:43.022Z,100,21418,23034,93.0,72.05,76
2026-03-06T08:52:45.077Z,100,21418,23034,93.0,71.94,76
