Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,4,0,9.062559000085457,11.512507750012446,9.062559000085457,14.711241999975755,0.0,0.0515021344868787,0.0,13,13,15,15,15,15,15,15,15,15,15
POST,chat/medium,8,0,7,7.30246000000534,6.406334000530478,9.811721000005491,0.0,0.1030042689737574,0.0,7,7,8,8,10,10,10,10,10,10,10
POST,chat/short,8,0,7,9.358821874911882,6.153323999569693,17.24728800036246,0.0,0.1030042689737574,0.0,7,10,14,14,17,17,17,17,17,17,17
,Aggregated,20,0,7,8.967014299969378,6.153323999569693,17.24728800036246,0.0,0.2575106724343935,0.0,7,9,10,13,15,17,17,17,17,17,17
