timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T10:19:11.123Z,0,21418,23034,93.0,33.57,72
2026-03-06T10:19:13.179Z,100,21418,23034,93.0,71.84,73
2026-03-06T10:19:15.234Z,100,21418,23034,93.0,71.84,74
2026-03-06T10:19:17.286Z,100,21418,23034,93.0,71.87,74
2026-03-06T10:19:19.343Z,100,21418,23034,93.0,71.96,74
2026-03-06T10:19:21.397Z,100,21418,23034,93.0,72.02,75
2026-03-06T10:19:23.450Z,100,21418,23034,93.0,71.95,75
2026-03-06T10:19:25.504Z,100,21418,23034,93.0,72.07,75
2026-03-06T10:19:27.561Z,17,21418,23034,93.0,48.20,75
2026-03-06T10:19:29.624Z,100,21418,23034,93.0,71.94,76
2026-03-06T10:19:31.684Z,100,21418,23034,93.0,71.89,76
2026-03-06T10:19:33.740Z,100,21418,23034,93.0,71.95,77
2026-03-06T10:19:35.796Z,100,21418,23034,93.0,71.98,77
2026-03-06T10:19:37.851Z,100,21418,23034,93.0,72.11,77
2026-03-06T10:19:39.919Z,100,21418,23034,93.0,71.92,77
2026-03-06T10:19:41.973Z,100,21418,23034,93.0,72.06,78
2026-03-06T10:19:44.027Z,100,21418,23034,93.0,66.89,78
2026-03-06T10:19:46.080Z,100,21418,23034,93.0,71.88,78
2026-03-06T10:19:48.135Z,100,21418,23034,93.0,71.88,78
2026-03-06T10:19:50.194Z,100,21418,23034,93.0,71.92,78
2026-03-06T10:19:52.248Z,100,21418,23034,93.0,71.88,78
2026-03-06T10:19:54.301Z,100,21418,23034,93.0,71.91,78
2026-03-06T10:19:56.354Z,100,21418,23034,93.0,71.96,78
2026-03-06T10:19:58.408Z,100,21418,23034,93.0,71.85,78
2026-03-06T10:20:00.462Z,100,21418,23034,93.0,71.91,78
2026-03-06T10:20:02.515Z,100,21418,23034,93.0,72.05,78
2026-03-06T10:20:04.578Z,100,21418,23034,93.0,71.95,78
2026-03-06T10:20:06.632Z,100,21418,23034,93.0,71.96,78
2026-03-06T10:20:08.688Z,100,21418,23034,93.0,71.98,78
2026-03-06T10:20:10.740Z,100,21418,23034,93.0,71.86,78
2026-03-06T10:20:12.795Z,100,21418,23034,93.0,71.90,78
2026-03-06T10:20:14.858Z,100,21418,23034,93.0,71.37,78
2026-03-06T10:20:16.911Z,100,21418,23034,93.0,72.02,77
2026-03-06T10:20:18.964Z,100,21418,23034,93.0,71.87,77
2026-03-06T10:20:21.019Z,100,21418,23034,93.0,72.08,77
2026-03-06T10:20:23.071Z,100,21418,23034,93.0,72.04,77
2026-03-06T10:20:25.128Z,100,21418,23034,93.0,72.02,77
2026-03-06T10:20:27.181Z,100,21418,23034,93.0,71.81,76
2026-03-06T10:20:29.234Z,100,21418,23034,93.0,71.92,76
2026-03-06T10:20:31.289Z,100,21418,23034,93.0,71.87,76
2026-03-06T10:20:33.342Z,100,21418,23034,93.0,72.11,76
2026-03-06T10:20:35.395Z,100,21418,23034,93.0,72.06,76
2026-03-06T10:20:37.449Z,100,21418,23034,93.0,72.01,76
2026-03-06T10:20:39.512Z,100,21418,23034,93.0,72.02,76
2026-03-06T10:20:41.567Z,100,21418,23034,93.0,72.03,76
