timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_pct,avg_prompt_throughput_toks_per_s,avg_generation_throughput_toks_per_s
2026-03-06T08:57:23.719Z,0.0,0.0,0.00,,
2026-03-06T08:57:25.772Z,8.0,0.0,0.45,101.8,70.6
2026-03-06T08:57:27.826Z,8.0,0.0,0.85,0.0,140.2
2026-03-06T08:57:29.880Z,8.0,0.0,1.16,0.0,140.2
2026-03-06T08:57:31.938Z,8.0,0.0,1.54,0.0,139.9
2026-03-06T08:57:33.992Z,8.0,0.0,1.87,0.0,136.4
2026-03-06T08:57:36.048Z,8.0,0.0,2.25,0.0,140.0
2026-03-06T08:57:38.105Z,8.0,0.0,2.58,0.0,140.1
2026-03-06T08:57:40.158Z,2.0,0.0,0.33,101.8,86.2
2026-03-06T08:57:42.212Z,8.0,0.0,0.85,104.1,118.7
2026-03-06T08:57:44.267Z,8.0,0.0,1.26,0.0,140.1
2026-03-06T08:57:46.322Z,8.0,0.0,1.60,0.0,140.2
2026-03-06T08:57:48.375Z,8.0,0.0,1.91,0.0,140.3
2026-03-06T08:57:50.428Z,8.0,0.0,2.25,0.0,136.4
2026-03-06T08:57:52.488Z,8.0,0.0,2.68,0.0,139.8
2026-03-06T08:57:54.543Z,6.0,0.0,2.09,0.0,131.9
2026-03-06T08:57:56.604Z,7.0,0.0,0.53,145.1,74.2
2026-03-06T08:57:58.658Z,8.0,0.0,0.93,18.0,134.8
2026-03-06T08:58:00.714Z,8.0,0.0,1.26,0.0,136.3
2026-03-06T08:58:02.771Z,8.0,0.0,1.64,0.0,140.0
2026-03-06T08:58:04.823Z,8.0,0.0,1.99,0.0,140.3
2026-03-06T08:58:06.888Z,8.0,0.0,2.34,0.0,139.4
2026-03-06T08:58:08.940Z,8.0,0.0,2.66,0.0,136.4
2026-03-06T08:58:10.997Z,3.0,0.0,1.06,0.0,116.2
2026-03-06T08:58:13.052Z,7.0,0.0,0.77,268.1,91.0
2026-03-06T08:58:15.111Z,8.0,0.0,1.14,17.5,132.1
2026-03-06T08:58:17.165Z,8.0,0.0,1.52,0.0,140.2
2026-03-06T08:58:19.218Z,8.0,0.0,1.85,0.0,140.3
2026-03-06T08:58:21.273Z,8.0,0.0,2.21,0.0,136.3
2026-03-06T08:58:23.326Z,8.0,0.0,2.56,0.0,140.3
2026-03-06T08:58:25.383Z,8.0,0.0,2.94,0.0,140.0
2026-03-06T08:58:27.439Z,3.0,0.0,0.95,18.0,85.6
2026-03-06T08:58:29.493Z,7.0,0.0,0.53,89.1,105.1
2026-03-06T08:58:31.557Z,8.0,0.0,1.10,87.7,137.6
2026-03-06T08:58:33.609Z,8.0,0.0,1.44,0.0,140.4
2026-03-06T08:58:35.664Z,8.0,0.0,1.77,0.0,136.2
2026-03-06T08:58:37.718Z,8.0,0.0,2.15,0.0,140.2
2026-03-06T08:58:39.772Z,8.0,0.0,2.52,0.0,140.2
2026-03-06T08:58:41.833Z,7.0,0.0,2.52,0.0,132.9
2026-03-06T08:58:43.886Z,6.0,0.0,0.81,58.5,95.5
2026-03-06T08:58:45.942Z,7.0,0.0,0.65,38.4,108.0
2026-03-06T08:58:47.997Z,8.0,0.0,1.06,20.4,139.7
2026-03-06T08:58:50.050Z,8.0,0.0,1.44,0.0,140.2
2026-03-06T08:58:52.116Z,8.0,0.0,1.79,0.0,139.5
2026-03-06T08:58:54.167Z,8.0,0.0,2.11,0.0,136.5
