timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T09:39:12.091Z,0,20478,23034,88.9,32.19,67
2026-03-06T09:39:14.148Z,100,20478,23034,88.9,72.81,70
2026-03-06T09:39:16.201Z,100,20478,23034,88.9,71.84,70
2026-03-06T09:39:18.254Z,100,20478,23034,88.9,71.87,71
2026-03-06T09:39:20.308Z,100,20478,23034,88.9,72.06,72
2026-03-06T09:39:22.362Z,100,20478,23034,88.9,71.96,72
2026-03-06T09:39:24.423Z,100,20478,23034,88.9,71.93,73
2026-03-06T09:39:26.475Z,100,20478,23034,88.9,71.89,73
2026-03-06T09:39:28.528Z,100,20478,23034,88.9,41.57,73
2026-03-06T09:39:30.582Z,100,20478,23034,88.9,72.01,74
2026-03-06T09:39:32.636Z,100,20478,23034,88.9,71.86,75
2026-03-06T09:39:34.697Z,100,20478,23034,88.9,71.89,75
2026-03-06T09:39:36.750Z,100,20478,23034,88.9,71.97,75
2026-03-06T09:39:38.802Z,100,20478,23034,88.9,72.09,76
2026-03-06T09:39:40.855Z,100,20478,23034,88.9,71.94,76
2026-03-06T09:39:42.906Z,41,20478,23034,88.9,68.36,75
2026-03-06T09:39:44.964Z,100,20478,23034,88.9,72.43,77
2026-03-06T09:39:47.018Z,100,20478,23034,88.9,71.85,77
2026-03-06T09:39:49.072Z,100,20478,23034,88.9,71.89,78
2026-03-06T09:39:51.129Z,100,20478,23034,88.9,71.95,78
2026-03-06T09:39:53.180Z,100,20478,23034,88.9,72.10,78
2026-03-06T09:39:55.234Z,100,20478,23034,88.9,72.03,79
2026-03-06T09:39:57.288Z,100,20478,23034,88.9,72.02,79
2026-03-06T09:39:59.344Z,0,20478,23034,88.9,39.04,77
2026-03-06T09:40:01.397Z,100,20480,23034,88.9,72.15,79
2026-03-06T09:40:03.450Z,100,20480,23034,88.9,71.94,80
2026-03-06T09:40:05.503Z,100,20480,23034,88.9,71.92,80
2026-03-06T09:40:07.555Z,100,20480,23034,88.9,71.94,80
2026-03-06T09:40:09.617Z,100,20480,23034,88.9,71.85,80
2026-03-06T09:40:11.673Z,100,20480,23034,88.9,71.84,80
2026-03-06T09:40:13.729Z,100,20480,23034,88.9,71.88,80
2026-03-06T09:40:15.782Z,100,20480,23034,88.9,49.17,79
2026-03-06T09:40:17.835Z,100,20480,23034,88.9,72.02,79
2026-03-06T09:40:19.891Z,100,20480,23034,88.9,72.14,79
2026-03-06T09:40:21.943Z,100,20480,23034,88.9,72.01,79
2026-03-06T09:40:23.996Z,100,20480,23034,88.9,72.02,78
2026-03-06T09:40:26.048Z,100,20480,23034,88.9,72.03,78
2026-03-06T09:40:28.102Z,100,20480,23034,88.9,71.97,78
2026-03-06T09:40:30.152Z,0,20480,23034,88.9,59.10,76
2026-03-06T09:40:32.202Z,100,20480,23034,88.9,71.95,78
2026-03-06T09:40:34.256Z,100,20480,23034,88.9,71.84,77
2026-03-06T09:40:36.307Z,100,20480,23034,88.9,71.98,77
2026-03-06T09:40:38.357Z,100,20480,23034,88.9,71.96,77
2026-03-06T09:40:40.406Z,100,20480,23034,88.9,71.98,77
2026-03-06T09:40:42.458Z,100,20480,23034,88.9,72.00,77
