timestamp,category,input_tokens,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
10189.963587614,short,14,256,83.19413199933479,58.224743980391914,14930.503846999272,58.09578400112514,59.73741090034309,length,True,
10189.956144015,medium,53,256,177.37586700059182,58.11506907843532,14996.718482001597,58.09235900051135,59.43064227925788,length,True,
10189.961398578,long,135,256,172.24505500053056,58.11612981568603,14991.858158000468,58.089402000405244,59.50331274070777,length,True,
10189.957905288,short,12,256,175.80605799957993,58.11690206666718,14995.61608499971,58.10285499865131,59.575845840008704,length,True,
10189.964616508,medium,61,256,169.14813699986553,58.11767309020141,14989.154775001225,58.10118900080852,59.57468052019977,length,True,
10189.959270306,short,11,256,174.5455359996413,58.118485839212575,14994.759424998847,58.105787000386044,59.57974886096054,length,True,
10189.96020026,short,13,256,173.67410999941058,58.11929686274465,14994.094809999297,58.09210700135736,59.540901399377624,length,True,
10189.962560501,short,11,256,171.3964139999007,58.11994847842702,14991.983275998791,58.097953000469715,59.58664064106416,length,True,
10205.533418456,medium,58,256,71.84769600098662,57.84492341960739,14822.303168000872,57.73908999981359,61.428196080341905,length,True,
10205.649589023,long,127,256,146.068441999887,57.784277478433566,14881.059199000447,57.72939800044696,59.51281891982944,length,True,
10205.597073516,long,144,256,198.42468199931318,57.78612590196038,14933.88678699921,57.743665000089095,59.77359681910457,length,True,
10205.665773575,long,144,256,189.25486100124544,57.77212285882378,14921.14619000131,57.738339999559685,59.27913663952496,length,True,
10205.723191446,short,12,256,191.0004929995921,57.76501325881862,14921.07887399834,57.72289900050964,59.14174086057756,length,True,
10205.797809041,medium,53,256,174.9057619999803,57.75843450588296,14903.306561000136,57.73052599943185,59.671088098693886,length,True,
10205.946443353,short,12,256,147.39967600144155,57.73246947058343,14869.179391000216,57.72117900050944,58.703165839542635,length,True,
10206.301626523,medium,54,256,144.6898890008015,57.68068802744714,14853.265335999822,57.72465500012913,58.99279524044687,length,True,
10221.166117478,short,14,256,67.77491699904203,57.72471669804551,14787.577675000648,57.71473399909155,60.44426283970097,length,True,
10221.540390446,long,127,256,147.27968400075042,57.76002463921317,14876.085967000108,57.73609499919985,60.406372259458294,length,True,
10221.580033465,medium,58,256,165.44052500103135,57.756166345094314,14893.262943000082,57.7046149992384,60.493324139788456,length,True,
10221.59913236,long,135,256,146.45940199989127,57.75731258823618,14874.574112000118,57.74500500046997,60.69408137889695,length,True,
10221.770743042,short,10,256,153.32475200011686,57.732761066668616,14875.178824000614,57.73493200103985,59.65715021946381,length,True,
10222.00858922,medium,61,256,145.99586499934958,57.72578623137259,14866.07135399936,57.72722999972757,58.967800719474326,length,True,
10222.112564284,medium,54,256,158.33300200029043,57.720159341175425,14876.973634000024,57.73348499860731,59.126818659606215,length,True,
10222.307318511,medium,55,256,137.2179519985366,57.716640705885034,14854.96133199922,57.69013799908862,59.18953400072496,length,True,
10236.935186348,short,12,256,168.93906599943875,57.90080977647306,14933.64555900007,57.72977400010859,64.71128863922786,length,True,
10237.010802221,medium,55,256,151.11476799938828,57.90150306274168,14915.998048998517,57.71187299978919,64.64952430007543,length,True,
10237.246458859,long,127,256,151.0742280006525,57.881794333333545,14910.931783000706,57.750998999836156,63.64442226054963,length,True,
10237.238790199,medium,52,256,158.64585700001044,57.883157670585206,14918.851062999238,57.73984400002519,63.62811222024904,length,True,
10237.414677283,short,14,256,161.93826099879516,57.85386885098192,14914.674817999185,57.70924700118485,62.14390918001303,length,True,
10237.496703484,medium,60,256,144.49296900056652,57.82556527451294,14890.012114001365,57.705336999788415,59.39851436043683,length,True,
10237.973886783,long,131,256,146.78574100071273,57.7500081176421,14873.037810999449,57.70378400120535,59.2557955207667,length,True,
10238.401502612,medium,62,256,135.12622199959878,57.700673662746375,14848.798005999924,57.699016000697156,58.7244211199868,length,True,
10252.446907741,medium,54,256,169.7245630002726,57.933957011767895,14942.883601001085,57.763197999520344,63.336209380213404,length,True,
10252.825427898,medium,55,256,136.18073500038008,57.943108176464996,14911.673319998954,57.76320000040869,63.33972406035173,length,True,
10252.848301862,long,144,256,171.4787749988318,57.940713929415594,14946.360826999808,57.75869199896988,63.166544758969394,length,True,
10253.390499525,long,144,256,147.07149199966807,57.94603530196707,14923.31049400127,57.75767100021767,62.83562291966519,length,True,
10253.493776179,long,148,256,193.20444499862788,57.81251010980757,14935.394522999559,57.7687059994787,61.59803494003429,length,True,
10253.614024004,medium,54,256,191.86332699973718,57.795778062741284,14929.786732998764,57.76096199952008,61.126732639968424,length,True,
10254.208031844,short,12,256,180.23592899953655,57.76639967843235,14910.667846999786,57.76758200045151,59.65978612017352,length,True,
10254.430506533,long,131,256,136.99974699920858,57.7858966862764,14872.40340199969,57.76459800108569,61.173741659804385,length,True,
