Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,2,0,13.073437999992166,20.741952499975014,13.073437999992166,28.410466999957862,0.0,0.01850453156544129,0.0,28,28,28,28,28,28,28,28,28,28,28
POST,chat/medium,2,0,28.35151199997199,36.8659344999287,28.35151199997199,45.38035699988541,0.0,0.01850453156544129,0.0,45,45,45,45,45,45,45,45,45,45,45
POST,chat/short,3,0,11.368839000169828,16.979076666757464,11.368839000169828,28.16682899992884,0.0,0.027756797348161933,0.0,11,11,28,28,28,28,28,28,28,28,28
,Aggregated,7,0,28,23.73614342858283,11.368839000169828,45.38035699988541,0.0,0.0647658604790445,0.0,28,28,28,28,45,45,45,45,45,45,45
