experiment,users,category,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p99,e2e_mean,e2e_p50,e2e_p99,itl_p50_mean,itl_p99_mean,output_tokens
prefix_baseline,1,medium,3,125.63328966704528,123.92300499959674,139.4478889011225,140.82787858125812,56.541529396077884,56.54001879215773,56.57074334478153,14543.723285666905,14549.622450998868,14551.990302501326,56.535072666520136,57.64429013401241,768
prefix_baseline,1,short,2,122.79017449964158,122.79017449964158,123.58193195041167,123.65231039048012,56.58788203529505,56.58788203529505,56.59755368219532,14552.70009349988,14552.70009349988,14556.028499350288,56.57939649972832,57.223374839868484,512
prefix_baseline,4,medium,7,291.3759054283998,258.86406999961764,436.98393850099814,437.46728050122323,58.133388436974954,58.1513687411786,58.61960492015993,15115.389956857014,15126.661782000156,15193.567701640823,57.869251714042285,59.94961462529319,1792
prefix_baseline,4,short,13,240.35480007660226,223.73388899904967,385.5744422005954,428.5510852403239,58.25196205007481,58.16724507451142,58.759073169094194,15094.605122845678,15089.27780799968,15188.61908696068,57.87115384653309,63.889724676997716,3328
prefix_baseline,8,medium,11,374.734230817756,360.6180119986675,633.3195764991615,709.0094648991,59.58444011229924,59.73068957255415,60.50123321764284,15568.766459454062,15591.943852999975,15673.1343748992,58.59675118187045,94.32170018173738,2816
prefix_baseline,8,short,29,390.7499372413942,346.45825900042837,730.8467486000154,732.3423561200616,59.380033159297334,59.291151133334544,60.65039362807703,15532.658392862217,15578.702862001592,15664.570439800154,58.57528510343149,83.09600342885156,7424
prefix_caching_on,1,medium,2,98.0300854998859,98.0300854998859,118.05914315054908,119.83950383060802,56.585570225487416,56.585570225487416,56.59584726834695,14527.350492999176,14527.350492999176,14551.780557259082,56.58660550034256,57.18492502990557,512
prefix_caching_on,1,short,3,122.27482400036631,125.98654700013869,161.35718510067818,164.50124182072614,56.54147587843028,56.54183822352577,56.5618553384341,14540.35117300009,14544.15529399921,14577.29397440009,56.5364773337933,57.52018169305908,768
prefix_caching_on,4,medium,4,171.13551124930382,170.97373499927926,180.3249655491527,181.24899950918916,57.56561303137549,57.569496350982924,57.585369689767916,14850.366834250053,14847.555993000242,14865.34991100003,57.552705749458255,58.71119394442758,1024
prefix_caching_on,4,short,16,135.17039106261564,140.7446869998239,180.16368475082345,183.24354655023853,57.53544764877282,57.54226466470202,57.584785689019085,14806.709541499686,14808.342309000182,14865.183987749697,57.51640906260036,58.89156480117663,4096
prefix_caching_on,8,medium,7,154.45045128633086,165.99030700126605,182.82060010114944,187.61008882142048,58.04749014621781,58.06762475294104,58.10116880713573,14956.560438571874,14979.587918000108,14994.495521820427,58.00967571407715,61.00828488011757,1792
prefix_caching_on,8,short,33,158.4219517878933,161.65796300083457,186.95430780026072,191.6923074008082,58.01854172299439,58.0077892000012,58.145846285803046,14953.150091151463,14950.453579000168,14987.869885199252,57.99085893952658,59.83292879875191,8448
prefix_chunked_plus_cache,1,short,5,112.33771560073365,121.11938100133555,158.86970860046858,165.44363772038196,56.54991855450955,56.55774243137321,56.58305622681926,14532.566947000669,14544.588549000764,14574.21909600118,56.53921800003445,57.41194999214349,1280
prefix_chunked_plus_cache,4,medium,4,144.9295024995081,140.03340399904118,158.23244925059043,160.58553945085805,57.45549857745074,57.459904894120186,57.48735108705481,14796.081639749445,14792.296806499508,14819.860066649835,57.433455000136746,58.64493924980707,1024
prefix_chunked_plus_cache,4,short,16,138.8964796254868,150.29230099935376,173.45178450023013,177.71889450023082,57.46414791960709,57.46002037647165,57.51822239999777,14792.254199125297,14795.292216500458,14828.37215789932,57.42941393748424,58.84588491727072,4096
prefix_chunked_plus_cache,8,medium,15,153.18085873356418,156.28258399920014,174.0147517004516,176.73069514043164,57.95671171241706,57.89092762352797,58.117681333251774,14932.142345399916,14922.317096999905,14982.991626199728,57.90900599992407,60.05119729868844,3840
prefix_chunked_plus_cache,8,short,25,152.8999106000265,157.0038840000052,180.0632326001505,181.7333389592386,57.946551187608485,57.92387820391941,58.12276445145122,14929.270463440187,14918.842029999723,14989.191167800818,57.90736712006037,60.1689379734773,6400
prefix_chunked_plus_cache,16,medium,26,165.00118576935236,168.73797900007048,194.59036624994042,198.24183574974086,59.11737522428268,59.268637668627015,59.34754129509969,15239.931867961435,15260.711132499637,15310.450895250597,59.0354108075749,63.727069332302435,6656
prefix_chunked_plus_cache,16,short,54,164.72448120364587,164.95529600069858,194.15339594988836,197.88616357973297,59.17770938249833,59.265277770592704,59.35771386682559,15255.040373740721,15272.130680499686,15313.661049969885,59.08859831483655,63.82222514857994,13824
