Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,13,0,9,11.023439769745051,8.095068995316979,26.306660001864657,0.0,0.03655987710447441,0.0,9,10,10,12,13,26,26,26,26,26,26
POST,chat/medium,16,0,9,12.387397124712152,8.042350003961474,27.006439995602705,0.0,0.04499677182089159,0.0,10,10,12,12,25,27,27,27,27,27,27
POST,chat/short,14,0,9,11.503793428086542,7.419970002956688,22.250289999647066,0.0,0.039372175343280136,0.0,9,11,11,21,22,22,22,22,22,22,22
,Aggregated,43,0,9,11.687352999890505,7.419970002956688,27.006439995602705,0.0,0.12092882426864614,0.0,9,10,11,12,22,25,27,27,27,27,27
