timestamp,category,approx_chars,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
50040.921020089,long,5813,56,326.3428259961074,47.97910094546916,2965.1933779969113,42.243338997650426,185.97403242441962,stop,True,
50043.886735647,long,9988,631,514.4079530000454,61.07637584761491,38992.52473699744,49.809989002824295,407.3182673008707,stop,True,
50074.68170347,long,5669,180,342.03865499875974,74.6822267039188,13710.157235000224,64.55477899726247,454.22369219493703,stop,True,
50033.414882926,long,5583,1006,194.34929799899692,59.15630373532423,59646.434551999846,48.65963899646886,403.0274024026587,stop,True,
50037.166795753,long,1911,924,116.76697799703106,60.6683789967502,56113.68079199747,49.740209004085045,402.5253000239898,stop,True,
50055.936415647,long,2063,678,155.93994700611802,68.53464906646607,46553.89736500365,63.05881000298541,407.3693714407274,stop,True,
50082.880095853,long,3262,359,401.98875500209397,71.30889591061222,25930.57349100127,67.23522399988724,174.12829847140554,stop,True,
50078.439491976,long,8247,424,442.83098400046583,72.11414239952855,30947.11321900104,66.96379899949534,262.0093176189388,stop,True,
50089.689950015,long,3189,375,293.3615160000045,71.68327799464706,27102.907485998003,68.53892900107894,155.5935368002246,stop,True,
50048.426023803,long,3751,1086,286.22221600380726,68.0897556396278,74163.60708499997,65.22666899400065,376.7689374045606,stop,True,
50063.434157889,long,10915,839,511.94745199609315,72.67281399284377,61411.76557799918,66.99526900411001,391.66998167187546,stop,True,
50067.179955596,long,11856,785,551.7706620012177,73.0221768839217,57801.157338995836,67.22392400115496,377.2686093270737,stop,True,
50059.677291803,long,3199,979,204.41639700584346,72.48993451021994,71099.57234800095,66.67448349980987,420.8611849725278,stop,True,
50102.490805132,long,2964,456,294.65860599884763,75.7993657384669,34783.37001700129,68.53847899765242,395.93949894216973,stop,True,
50070.932062462,long,10313,926,530.0221229990711,74.18504312864938,69151.18701699976,67.5732399977278,368.3535975634002,stop,True,
50052.17645592,long,7062,1251,267.03588599775685,72.43987472960143,90816.87929799955,66.66848849999951,421.31889759082696,stop,True,
50044.667587906,long,1125,1410,127.6683280011639,69.74294518310701,98395.47809099895,66.14131900278153,417.1371621201986,stop,True,
50108.812170704,long,1110,566,227.58501700445777,77.07409722831221,43774.44995100086,68.33183900016593,433.95015571877605,stop,True,
50137.275396429,long,5175,217,437.9308839997975,75.35648982869773,16714.93268699851,68.42810949819977,402.4870263048782,stop,True,
50116.793141281,long,3358,555,266.20018500398146,77.5757068339335,43243.14177100314,68.32885950279888,426.3610215294469,stop,True,
50082.43006263,long,1945,1027,184.36586799361976,75.80245948148361,77957.6892959958,68.202743997972,367.2359374995722,stop,True,
50093.280866305,long,5869,897,350.0303350010654,74.99458070312163,67545.17464499804,68.38529850210762,373.65059545336175,stop,True,
50130.777750431,long,9461,439,553.8319219995174,78.88451054110259,35105.24753900245,68.78983400019933,460.1583214406126,stop,True,
50143.064475928,long,2128,294,358.69512400677195,80.72737403411745,24011.815716003184,68.90348900196841,443.21276771981456,stop,True,
50124.846825807,long,8640,557,587.0662810048088,79.6449918291355,44869.68173800415,68.682668999827,451.20779560347836,stop,True,
50122.591524618,long,3459,669,320.15140500152484,81.32610728442344,54645.99107099639,69.09406899649184,456.7259557979563,stop,True,
50153.990816556,long,4081,329,344.6933250015718,82.41806939023685,27377.820084999257,71.16577399938251,452.6692288993952,stop,True,
50160.82674889,long,10136,247,511.81193299998995,84.98024400404671,21416.95195799548,71.95447399863042,466.898107501038,stop,True,
50109.387595906,long,1434,926,227.68745599751128,79.95794473296957,74188.78633399436,69.22325900086435,437.5612741211079,stop,True,
50124.981559985,long,1485,916,598.8346510057454,79.27263931366024,73133.29962300486,70.46061899745837,425.8707767966553,stop,True,
50093.062393098,long,2748,1353,217.3890769990976,77.7868759082836,105385.24530499853,69.45585449648206,423.5369710032683,stop,True,
50088.392609055,long,2215,1439,213.03165699646343,77.99438639708171,112368.95929599996,69.50129899996682,418.86575846969293,stop,True,
50152.587867535,long,1830,639,228.57225699408446,80.78933663009907,51772.16902699729,72.73226349934703,404.7909378681651,stop,True,
50140.083766099,long,8295,819,710.12563000113,81.7404513422966,67573.81482799974,72.23186900228029,423.1081428004113,stop,True,
50169.717047055,long,10084,484,602.9979020022438,79.63041928157526,39064.49041500309,73.64095900265966,233.63205104396962,stop,True,
50177.238509909,long,3363,517,334.2051649960922,78.63038784108899,40907.48529099801,74.00082400272368,212.5347416451415,stop,True,
50183.57761151,long,9894,459,615.3438909968827,78.80151023798878,36706.43557999574,74.25876900015282,193.3645589013034,stop,True,
50142.994547749,long,4767,1019,320.22662500094157,79.6554084076647,81409.4323840036,72.8555640016566,393.7342443981472,stop,True,
50220.28457491,long,8699,93,615.3830010007368,78.34158684778706,7822.808990997146,76.12516399967717,111.91686901460366,stop,True,
50224.405020313,medium,587,108,256.0610469954554,82.54717847665012,9088.609143997019,76.33710899972357,240.13912166090432,stop,True,
50167.077831774,long,4043,879,274.73422500042943,79.8472228508012,70380.59588800388,74.31420349894324,318.5122229736594,stop,True,
50182.243977419,long,6749,752,457.61974299966823,81.61862705326811,61753.20866000402,75.04432800487848,298.3277564999298,stop,True,
50160.388398996,long,4082,1032,365.5095549984253,82.54511125315359,85469.51925699977,74.37153899809346,393.2381423022892,stop,True,
50160.036741172,long,2367,1108,278.87763600301696,82.25218831978108,91332.05010600068,74.49973899929319,394.4031406019352,stop,True,
50200.762443821,long,4719,695,290.1316860006773,81.18026957925431,56629.23877400317,75.24148849915946,335.53240369998105,stop,True,
50085.9451716,long,9387,2153,558.7116920069093,79.75303565613052,172187.2444239998,71.86948849994224,392.1173302017984,stop,True,
