Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,234,0,17,18.803176687975387,7.588819993543439,79.85654899675865,0.0,0.4358130900988048,0.0,17,20,21,23,29,35,38,40,80,80,80
POST,chat/medium,24,0,10,12.774109500242048,7.595840004796628,22.270499997830484,0.0,0.044698778471672286,0.0,10,14,17,18,20,22,22,22,22,22,22
POST,chat/short,5,0,22,20.102969999425113,11.740490001102444,30.559719998564105,0.0,0.009312245514931726,0.0,22,23,23,31,31,31,31,31,31,31,31
,Aggregated,263,0,17,18.27770655128964,7.588819993543439,79.85654899675865,0.0,0.4898241140854088,0.0,17,20,21,23,28,34,37,40,80,80,80
