timestamp,category,input_tokens,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
9723.804970075,short,11,256,73.35740000053192,57.64947650196144,14773.973908000698,57.52887200105761,59.247641358815606,length,True,
9723.802745397,short,12,256,161.640061000071,57.53851543136703,14833.961495998665,57.5220270002319,58.44906427915703,length,True,
9723.80603849,medium,53,256,158.2347559997288,57.54063599215799,14831.096934000016,57.52951900103653,58.59145246002299,length,True,
9723.803959236,long,144,256,160.19397499985644,57.542301270586904,14833.480798999517,57.54251399957866,58.6176056588738,length,True,
9739.460948541,short,12,256,70.22712800062436,57.29166161960593,14679.600841000138,57.2316799989494,58.975457619344525,length,True,
9739.530402008,medium,59,256,176.06907799927285,57.277422654906154,14781.811855000342,57.23424100142438,58.523223681222596,length,True,
9739.708636577,short,11,256,170.32160700000532,57.27446721176938,14775.310746001196,57.248413999332115,58.61941645998741,length,True,
9739.832541491,medium,54,256,167.12336500131642,57.242459949017814,14763.950652000858,57.237765000536456,58.15831220061227,length,True,
9754.792989869,medium,56,256,73.60228700053995,57.33011643137348,14692.781977000777,57.26224899990484,61.018674380466145,length,True,
9755.325202633,medium,55,256,169.26721000163525,57.34130414509541,14791.299767000964,57.275333998404676,58.93499122004869,length,True,
9755.421915995,medium,55,256,193.2026489994314,57.314546058820696,14808.41189399871,57.26733499977854,58.848830439455924,length,True,
9755.934610463,medium,54,256,145.23330500014708,57.287425874507306,14753.52690299951,57.28265399920929,58.52522968008998,length,True,
9770.225156167,short,13,256,176.0700539998652,57.30495350196411,14788.833197000713,57.27112299973669,58.3978882592055,length,True,
9770.915094921,short,10,256,169.21106100016914,57.32011670980308,14785.840821999955,57.2631970007933,58.53289505997964,length,True,
9771.271113611,medium,53,256,162.62803900099243,57.29549231372777,14772.978579001574,57.270544000857626,58.36813747930137,length,True,
9771.989785736,short,11,256,136.18423200023244,57.281715415685504,14743.021663000036,57.26998699901742,58.069949380587786,length,True,
9786.401900588,medium,53,256,157.97793499950785,57.31282458039584,14772.748203000447,57.264840999778244,62.60859805897781,length,True,
9787.903677046,short,11,236,155.94762399996398,57.5151392638292,13672.005350999825,57.25864300075045,58.332498379932076,stop,True,
9787.166068272,medium,52,256,137.97596200129192,57.31175487058399,14752.47345400021,57.26578299982066,60.55195226032086,length,True,
9787.391759056,short,11,256,147.39448000000266,57.27576081961018,14752.713489000598,57.261620999270235,58.80893669989746,length,True,
