Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,1,0,47.164268999949854,47.164268999949854,47.164268999949854,47.164268999949854,0.0,0.009345342254156567,0.0,47,47,47,47,47,47,47,47,47,47,47
POST,chat/medium,4,0,27,24.086825500035047,13.011289999667497,28.94785900025454,0.0,0.03738136901662627,0.0,28,28,29,29,29,29,29,29,29,29,29
POST,chat/short,2,0,12,12.048313499690266,11.865268999827094,12.231357999553438,0.0,0.018690684508313134,0.0,12,12,12,12,12,12,12,12,12,12,12
,Aggregated,7,0,27,23.944028285638655,11.865268999827094,47.164268999949854,0.0,0.06541739577909596,0.0,27,28,29,29,47,47,47,47,47,47,47
