experiment,ttft_p50,ttft_p95,tpot_p50,e2e_p50,throughput_u128_tok_s,kv_cache_mean_pct,vram_mean_mib,gen_throughput_mean,arc_acc,arc_acc_norm,gsm8k_strict,gsm8k_flex
qwen3_kv_fp8_baseline,598.279794001428,217568.68733690426,93.78602513272288,162018.9110700012,1096.8227672732473,0.9176833976833978,20648.0,539.6138138138137,0.653,0.66,0.879,0.879
qwen3_kv_turboquant_k8v4,621.3663309972617,217774.20141600014,129.66691737784095,216876.872163004,291.8928999703237,0.9144802723813339,20228.0,266.3027027027027,0.63,0.642,0.891,0.89
qwen3_kv_turboquant_4bit_nc,680.5369739959133,132699.49644660222,156.54639968181513,258918.57984200033,575.0954305772523,0.9318443424065229,20204.0,300.7177430843493,0.637,0.64,0.882,0.883
qwen3_kv_turboquant_k3v4_nc,753.3673779980745,49644.46844439969,196.74323680279832,256415.46421901148,759.9277220564535,0.9037085205934864,20224.0,287.98318318318314,0.634,0.64,0.868,0.869
qwen3_kv_turboquant_3bit_nc,732.303729004343,2015.1030443957993,177.79857838658708,235669.59738700825,391.50234979178515,0.9034227683929061,20254.432432432433,270.5405405405405,0.632,0.635,0.869,0.869
