experiment,users,n,ttft_mean,ttft_p99,tpot_mean,e2e_mean,gpu_util_mean,gpu_util_max,vram_mean_mib,vram_max_mib,kv_cache_mean_pct,kv_cache_max_pct,requests_running_mean,requests_waiting_mean,requests_waiting_max,gen_throughput_mean
non_reasoning_baseline,16,80,274.72259941892906,955.0430440387545,58.83896486045745,31638.616950401363,96.42857142857143,100.0,20756.0,20756.0,0.2793381851262224,0.492153741187173,9.642857142857142,0.0,0.0,162.15555555555554
non_reasoning_baseline,32,125,288.844723486709,818.9182445821643,76.38073184653398,45080.131433808194,91.66666666666667,100.0,20756.0,20756.0,0.5219467818967477,0.8790084148282921,22.125,0.0,0.0,292.50092592592586
non_reasoning_baseline,64,181,24416.738595881277,55036.257898280004,96.85196070792476,65184.5326487202,93.10344827586206,100.0,20756.0,20756.0,0.7332193580262405,1.0,31.448275862068964,9.758620689655173,27.0,333.05057471264365
qwen3_kv_cache_auto,16,131,325.44847838573617,7574.855840696887,60.28298607103318,22775.416185013342,96.6,100.0,20720.933333333334,20756.0,0.26738701850166813,0.4438125568698817,12.433333333333334,0.0,0.0,223.17939726053638
qwen3_kv_cache_auto,32,166,349.8972179352513,2143.9483499012485,81.90292990767752,32265.918025292485,94.5945945945946,100.0,20756.0,20756.0,0.5761441605390649,0.9931756141947224,22.243243243243242,0.02702702702702703,1.0,282.581981981982
qwen3_kv_cache_auto,64,234,24304.74656383409,79297.21835700184,116.67737459427265,74576.35633724985,94.5945945945946,100.0,20756.0,20756.0,0.7938912524899786,1.0,33.972972972972975,12.432432432432432,33.0,348.19399399399396
qwen3_kv_cache_auto,128,133,90839.62248366485,179360.04003834713,110.29147453181416,143932.89714652326,94.5945945945946,100.0,20756.0,20756.0,0.9240218380345768,1.0,40.21621621621622,61.189189189189186,98.0,383.9295452210522
qwen3_kv_cache_fp8,16,115,631.3384807526418,10291.247878791037,53.95827442924284,22978.799052110622,98.11111111111111,100.0,21462.666666666668,21512.0,0.1580153043817322,0.2631638803593767,10.857142857142858,0.0,0.0,213.5066907570806
qwen3_kv_cache_fp8,32,224,287.18004496938966,896.5148892445727,70.05478009776333,29510.636960703992,94.5945945945946,100.0,21512.0,21512.0,0.2983208387507261,0.492550892755601,21.945945945945947,0.0,0.0,341.07687687687684
qwen3_kv_cache_fp8,64,329,327.84512914204373,946.9988669530725,92.73163341966072,38942.9666481519,94.5945945945946,100.0,21512.0,21512.0,0.5240901085322784,0.7963152507676561,43.513513513513516,0.0,0.0,492.7975975975975
qwen3_kv_cache_fp8,128,398,28227.480429054867,69685.62669340929,216.33952945501667,90133.10226613459,94.5945945945946,100.0,21512.0,21512.0,0.8155934849895955,0.9989764585465712,71.1891891891892,22.513513513513512,51.0,609.7261261261261
reasoning_baseline,16,46,317.3662821107947,1045.0178034993223,61.30298308057504,57954.806090499544,96.42857142857143,100.0,20756.0,20756.0,0.34520289807985965,0.5744826017739368,10.785714285714286,0.0,0.0,177.28174603174602
reasoning_baseline,32,66,913.0120619030749,15711.05157453971,79.35509502878597,67297.71279411798,93.10344827586206,100.0,20756.0,20756.0,0.6908785770862579,0.9990902888332954,21.379310344827587,0.41379310344827586,3.0,269.30498084291185
reasoning_baseline,64,39,27840.467033037916,163460.77278546087,91.92365477589097,118070.98949006932,93.10344827586206,100.0,20756.0,20756.0,0.8982064573808161,0.9988628610416193,32.6551724137931,18.137931034482758,38.0,343.27969348658996
