timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_pct,avg_prompt_throughput_toks_per_s,avg_generation_throughput_toks_per_s
2026-03-06T09:54:34.372Z,0.0,0.0,0.00,,
2026-03-06T09:54:36.421Z,8.0,0.0,1.80,235.8,70.8
2026-03-06T09:54:38.477Z,8.0,0.0,2.45,0.0,136.1
2026-03-06T09:54:40.534Z,8.0,0.0,3.22,0.0,140.1
2026-03-06T09:54:42.588Z,8.0,0.0,3.92,0.0,136.3
2026-03-06T09:54:44.642Z,8.0,0.0,4.57,0.0,136.3
2026-03-06T09:54:46.709Z,8.0,0.0,5.39,0.0,139.4
2026-03-06T09:54:48.765Z,8.0,0.0,6.04,0.0,136.1
2026-03-06T09:54:50.821Z,1.0,0.0,0.08,7.8,94.9
2026-03-06T09:54:52.875Z,8.0,0.0,1.18,70.1,112.5
2026-03-06T09:54:54.929Z,8.0,0.0,1.92,0.0,140.2
2026-03-06T09:54:56.988Z,8.0,0.0,2.65,0.0,139.9
2026-03-06T09:54:59.046Z,8.0,0.0,3.30,0.0,136.1
2026-03-06T09:55:01.099Z,8.0,0.0,4.12,0.0,140.2
2026-03-06T09:55:03.151Z,8.0,0.0,4.81,0.0,136.5
2026-03-06T09:55:05.207Z,7.0,0.0,4.81,0.0,140.1
2026-03-06T09:55:07.260Z,6.0,0.0,1.59,174.4,58.9
2026-03-06T09:55:09.312Z,8.0,0.0,2.49,127.6,130.1
2026-03-06T09:55:11.377Z,8.0,0.0,3.26,0.0,139.5
2026-03-06T09:55:13.431Z,8.0,0.0,3.96,0.0,136.3
2026-03-06T09:55:15.485Z,8.0,0.0,4.61,0.0,140.2
2026-03-06T09:55:17.539Z,8.0,0.0,5.34,0.0,136.4
2026-03-06T09:55:19.594Z,8.0,0.0,6.12,0.0,140.1
2026-03-06T09:55:21.652Z,6.0,0.0,5.10,0.0,128.3
2026-03-06T09:55:23.710Z,7.0,0.0,1.14,152.1,73.4
2026-03-06T09:55:25.762Z,8.0,0.0,1.88,7.8,133.6
2026-03-06T09:55:27.818Z,8.0,0.0,2.73,0.0,140.1
2026-03-06T09:55:29.872Z,8.0,0.0,3.47,0.0,140.2
2026-03-06T09:55:31.936Z,8.0,0.0,4.12,0.0,139.6
2026-03-06T09:55:33.988Z,8.0,0.0,4.81,0.0,136.4
2026-03-06T09:55:36.041Z,8.0,0.0,5.55,0.0,140.3
2026-03-06T09:55:38.099Z,6.0,0.0,3.55,87.5,114.7
2026-03-06T09:55:40.151Z,8.0,0.0,2.16,203.2,89.2
2026-03-06T09:55:42.211Z,8.0,0.0,2.86,0.0,139.8
2026-03-06T09:55:44.264Z,8.0,0.0,3.55,0.0,136.4
2026-03-06T09:55:46.316Z,8.0,0.0,4.32,0.0,140.3
2026-03-06T09:55:48.369Z,8.0,0.0,5.02,0.0,136.4
2026-03-06T09:55:50.423Z,8.0,0.0,5.75,0.0,140.2
2026-03-06T09:55:52.475Z,7.0,0.0,5.47,0.0,135.9
2026-03-06T09:55:54.527Z,3.0,0.0,0.33,35.6,98.5
2026-03-06T09:55:56.591Z,8.0,0.0,1.55,101.7,107.6
2026-03-06T09:55:58.643Z,8.0,0.0,2.24,0.0,136.5
2026-03-06T09:56:00.697Z,8.0,0.0,2.98,0.0,136.3
2026-03-06T09:56:02.749Z,8.0,0.0,3.67,0.0,140.3
2026-03-06T09:56:04.802Z,8.0,0.0,4.37,0.0,136.4
