Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,2,0,7.057917999986785,18.947910500003218,7.057917999986785,30.83790300001965,0.0,0.02624064408817271,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,chat/medium,2,0,7,6.876472499953934,6.660558999953992,7.092385999953876,0.0,0.02624064408817271,0.0,7,7,7,7,7,7,7,7,7,7,7
POST,chat/short,1,0,6.567456999960086,6.567456999960086,6.567456999960086,6.567456999960086,0.0,0.013120322044086355,0.0,7,7,7,7,7,7,7,7,7,7,7
,Aggregated,5,0,7,11.643244599974878,6.567456999960086,30.83790300001965,0.0,0.06560161022043177,0.0,7,7,7,31,31,31,31,31,31,31,31
