timestamp,category,approx_chars,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
55103.429708677,short,125,417,170.90039799950318,63.131758860576014,26433.712083999126,64.24816900107544,124.566238344778,stop,True,
55110.939697276,short,136,383,173.16521699831355,66.22688880366476,25471.836739998253,65.6560144998366,131.6835682024248,stop,True,
55112.812871935,short,53,377,158.38902800169308,67.13057296009866,25399.484460998792,65.969324503385,126.58965124683164,stop,True,
55116.574561585,short,27,383,209.8935959947994,68.91308200523667,26534.690921995207,67.14674400063814,137.26265739904193,stop,True,
55101.553852037,short,44,858,175.47534799814457,68.1472156137691,58577.63912899827,66.68772900593467,136.1374304024503,stop,True,
55135.343332253,short,55,490,232.25733599974774,76.08859868301947,37439.58209199627,75.26116799999727,137.8226623963565,stop,True,
55142.846630831,short,55,393,190.6438270016224,77.11424849233536,30419.429235997086,75.86913899649517,128.51418639722377,stop,True,
55122.198736975,short,69,695,152.13469700393034,73.83760197261697,51395.43046600011,73.26962899969658,135.88191840419313,stop,True,
55138.212977736,short,27,472,224.43685599864693,76.68446514650071,36342.81994000048,75.55001800210448,137.94794199639006,stop,True,
55150.345052702,short,72,313,215.00863699475303,78.26652365386111,24634.16401699942,76.59694350149948,125.98218500061192,stop,True,
55144.714346862,short,27,393,221.97089600376785,77.64989651785035,30660.730331001105,76.1225385031139,139.6993293156988,stop,True,
55125.945513024,short,30,692,215.57574699545512,75.04714125759642,52073.150355994585,74.40684900211636,135.90370700039784,stop,True,
55114.708452655,short,69,877,187.3633669965784,73.23626704451833,64342.33329799463,72.8637685024296,135.4245579968847,stop,True,
55146.591369462,short,125,416,208.6708259957959,78.10531285060542,32622.375658997044,76.49195799604058,127.46106099861211,stop,True,
55148.471495422,short,79,411,204.6734569958062,78.43700296585533,32363.844672996493,76.69500399788376,126.06301211293615,stop,True,
55152.220043732,short,79,401,240.44368600152666,78.9246856174941,31810.31793299917,77.18126400141045,109.05854868724404,stop,True,
55133.464341333,short,64,671,207.07437600503908,76.83933145969753,51689.42645400239,75.89817850021063,135.3362254920648,stop,True,
55107.191655796,short,183,1202,170.81942700315267,72.98997530224679,87831.77976500156,73.70222900499357,132.8549980025855,stop,True,
55124.082743174,short,64,935,168.77343699889025,75.95333515738281,71109.18847399444,75.71070300036808,134.530513999125,stop,True,
55139.089752182,short,30,719,224.76555599860149,78.08833378411917,56292.18921299616,76.94877350149909,128.8139840029181,stop,True,
55140.973289982,short,69,696,240.1253860007273,78.31301370071559,54667.66990799806,77.2658690038952,126.35669299954314,stop,True,
55129.702118534,short,125,919,235.05895600101212,77.29310538889364,71190.12970300537,76.57107850172906,135.83916810108352,stop,True,
55179.215983361,short,125,326,273.44200500374427,80.78490493845983,26528.536110003188,79.25187799992273,105.18562436220236,stop,True,
55185.154886807,short,55,264,262.79049599543214,80.99644465020397,21564.855438999075,79.50644900120096,105.9406818219577,stop,True,
55120.317288125,short,154,1145,194.13501700182678,76.10638857517239,87259.84354699904,76.17290350026451,128.6987724022764,stop,True,
55127.823938665,short,66,1045,188.77648600027896,77.32634877681528,80917.48460899544,76.70282899562153,130.97857700049624,stop,True,
55175.376136333,short,51,420,260.7295560010243,80.99576816706224,34197.9564180001,79.5975989967701,109.55497821647441,stop,True,
55172.783686555,short,27,462,254.74359500367427,81.03193036225836,37610.46349200478,79.51636900543235,109.15124059829395,stop,True,
55173.595151741,short,125,482,271.14609599811956,81.0717527463627,39266.65916699858,79.31915900553577,109.5188500039512,stop,True,
55174.556807976,short,51,474,269.83647599990945,81.12223251585786,38640.65245600068,79.32721800170839,109.9571159973857,stop,True,
55137.219165422,short,44,966,199.5116269972641,78.69233220828929,76137.61220799643,77.66027899924666,126.03250439831756,stop,True,
55178.02117347,short,136,478,250.94849600282032,81.28029739202488,39021.65035199869,79.75387899932684,109.40767939871876,stop,True,
55109.062632436,short,152,1458,136.82177800365025,74.99406836993874,109403.1793930044,75.79679899936309,125.57951943948872,stop,True,
55173.267753877,short,55,596,251.05350599915255,81.23070294453964,48583.32175800024,79.38780800031964,108.70672280041612,stop,True,
55213.35860697,short,30,228,291.3073949966929,82.4461469383416,19006.582750000234,80.45787899754941,116.06227354073788,stop,True,
55195.026163761,short,72,454,277.3773750013788,81.976927997787,37412.92575799889,80.32588799687801,112.28827280108817,stop,True,
55129.863969201,short,154,1321,213.74390700657386,78.70760765681828,104107.7860140067,77.86195400331053,126.8717496938916,stop,True,
55213.198736642,short,125,276,269.1988560036407,82.72804175270721,23019.410337998124,80.54774799529696,115.93403920021953,stop,True,
55131.579319004,short,66,1340,188.0851870009792,78.99290389619179,105959.58350400178,78.25515900185565,124.48453041695754,stop,True,
55180.836068335,short,55,727,263.18537600309355,81.70153752479696,59578.50161900569,80.07863399689086,111.99984375343774,stop,True,
55105.306383476,short,44,1790,177.0390169986058,75.51143894242678,135267.0032850001,76.6045989948907,124.25602679868456,stop,True,
