timestamp,category,approx_chars,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
83804.98072481,short,48,124,501.50955200660974,176.72003301620538,22238.07361299987,120.80116799916141,643.1394010400982,stop,True,
83833.118242398,long,2096,282,802.0931709907018,218.64324873309164,62240.846064989455,201.20543100347277,689.7223110048799,stop,True,
83792.77073642,long,4207,539,357.17442599707283,190.39953702044383,102792.12534299586,197.5516009988496,652.3114632585202,stop,True,
83810.600518113,long,2029,408,741.1100169993006,209.62483873463543,86058.41938199592,199.9301710020518,687.9022795252968,stop,True,
83830.306137591,medium,307,427,729.1054289962631,215.64138349059706,92592.33479599061,200.4342399959569,683.7396002483729,stop,True,
83805.9088888,long,7545,761,638.2482670014724,204.94941639867886,156399.8047299974,197.3062260003644,662.0255100796925,stop,True,
83825.616651189,long,14910,773,1438.9169990026858,207.80597297667612,161865.12813699665,196.88095599849476,677.4167265130376,stop,True,
83812.47639478,long,9293,865,1006.6025020059897,205.04956525000696,178169.42687801202,196.21901099890238,678.4384053542454,stop,True,
83797.463830602,long,1011,1009,594.70908199728,198.9058298898719,201091.78561098815,194.73177100007888,667.6597994734759,stop,True,
83823.748480031,long,9373,870,1244.663268997101,206.5142952876804,180705.58587399137,195.7207700033905,690.9017702733403,stop,True,
83818.110899591,medium,801,959,523.9842680020956,206.80149665029998,198639.81805898948,194.74599599925568,691.6845125010874,stop,True,
83803.090912015,long,6133,1111,735.2721170027507,201.06395840901,223916.26595100388,193.29691700113472,668.3675626800699,stop,True,
83808.723154385,long,6639,1115,519.4367899966892,202.22460529891333,225797.64709298615,193.18606599699706,686.5093361648886,stop,True,
83815.294362255,medium,705,1132,504.6077610022621,202.99420952962654,230091.0587390099,193.00348100659903,693.5044069963627,stop,True,
83816.393407458,long,1159,1167,619.1591699898709,202.849802895374,237142.02934599598,192.2786669965717,691.0354690015077,stop,True,
83791.833054062,long,10311,1387,670.2581040008226,193.77708333333777,269245.29560400697,190.44761199620552,657.2044966997071,stop,True,
83828.426048155,long,8767,1162,803.8319519982906,211.83299558398582,246741.93982500583,192.2445819946006,708.8915856118558,stop,True,
83819.983128617,long,2589,1322,591.362602004665,202.69194179712719,268347.41771600966,190.73101099638734,702.0906442019618,stop,True,
83795.587532126,long,10340,1512,993.6427720094798,197.44350312441665,299330.77599300304,189.06051199883223,694.5364129933301,stop,True,
83824.734963665,long,2826,1446,423.00357899512164,201.63923703668,291791.7010969977,188.87258200265933,708.0820250004758,stop,True,
83820.920466156,long,3919,1482,553.7898959883023,201.6600390222863,299212.3076879943,188.7829810002586,705.4662417911462,stop,True,
83829.366408413,long,8825,1188,1012.042021000525,252.04112227969983,300184.85416700423,191.6138119995594,747.5778156012532,stop,True,
83827.487800947,medium,479,1502,553.5793550079688,201.8400519846691,303515.49738399626,188.21964199014474,716.5087009925628,stop,True,
83800.451228092,long,8854,1716,1127.9300500027603,198.38850134634922,341364.2098589917,186.79732199234422,703.1396093399953,stop,True,
83844.373384214,long,9497,0,,,300024.5584989898,,,,False,ConnectionError
83845.315447322,long,2524,0,,,300024.16148899647,,,,False,ConnectionError
83846.25594322,long,1412,0,,,300017.1133309923,,,,False,ConnectionError
83847.19392527,long,10180,0,,,300020.7366190007,,,,False,ConnectionError
83798.404138421,long,3230,1769,581.663874007063,196.99935022510866,348876.51507199917,186.447036008758,706.3406935699453,stop,True,
83843.435500435,long,10362,15,1558.9651179907378,21620.442060142523,304245.15395998606,204.316174997075,216.78889289672952,,False,ConnectionError
83848.127284379,long,3381,0,,,300020.040339994,,,,False,ConnectionError
83849.064903558,long,1488,0,,,300019.91954099503,,,,False,ConnectionError
83842.496649236,long,1803,31,738.5473690083018,10223.052509399713,307430.1226509997,204.2335439909948,642.7251987346975,,False,ConnectionError
83850.003261047,long,9600,0,,,300030.0460100116,,,,False,ConnectionError
83841.560871516,long,1390,36,836.9057589879958,8792.42812922873,308571.89028199355,204.69952101120725,632.8984794192354,,False,ConnectionError
83850.940998655,short,103,0,,,300021.1165429937,,,,False,ConnectionError
83840.621129787,long,8789,48,1039.1163399908692,6602.132519681076,311339.34476500144,204.38734999333974,635.8582748466868,,False,ConnectionError
83839.684214718,long,1664,70,808.6021820054157,4566.677149898538,315909.32552500453,202.8492899989942,717.0546163979449,,False,ConnectionError
83799.33905192,long,11317,1806,611.348870996153,197.34168391025122,356813.0883289996,186.06570200063288,711.9038246391577,stop,True,
83838.750366228,long,5047,88,1545.0465309986612,3663.40011640217,320260.85665798746,202.02889999200124,710.911087251734,,False,ConnectionError
83817.168528993,long,7475,1784,703.1257810012903,199.9663299657885,357243.0921100022,186.20080199616496,714.9643575921074,stop,True,
83806.843263657,long,6076,1848,754.1721469897311,199.32076037953996,368899.61656800006,185.7889420061838,717.9351910046533,stop,True,
83802.152595387,long,10383,1974,1664.3143260007491,199.43599422858262,395151.53093899426,185.3960620064754,720.1114874059567,stop,True,
83809.663337304,long,10926,1961,1564.5297470036894,198.87409590255072,391357.7577160031,185.37385200033896,719.391678381653,stop,True,
83794.658449797,long,9520,2058,843.503376992885,204.61404701167186,421734.5980800019,185.52280199946836,721.8272750009783,stop,True,
83822.796502914,long,6510,2093,803.6533309932565,200.09880295745992,419410.34911799943,185.1756919932086,721.646005693183,stop,True,
83836.871995061,long,5254,721,2062.3137390066404,578.7606202791721,418769.9603400106,183.7094820002676,728.4570787940173,stop,True,
83814.352115327,long,4052,2269,561.845855001593,198.31074202292893,450330.6087630044,184.87411699607037,720.991296096181,stop,True,
83837.80843379,long,10539,694,1975.97864898853,626.4743055165942,436122.6723719883,183.32533299690112,735.4459849291017,stop,True,
83987.483676066,long,3581,0,,,300018.35740800016,,,,False,ConnectionError
83793.709779289,long,4208,2535,679.5215440070024,195.10741005011576,495081.6986110003,184.16580250050174,719.5545571311961,stop,True,
83990.647615188,long,9874,0,,,300030.219740991,,,,False,ConnectionError
83819.055329488,long,10667,2376,849.1943270055344,199.66781391662937,475060.2523790003,184.43804200796876,721.9276032026393,stop,True,
83834.059617345,long,12902,1280,1496.1752039962448,361.5788248404994,463955.492174995,183.1336420000298,730.1888282003347,stop,True,
83998.557509523,long,9150,0,,,300021.06057199126,,,,False,ConnectionError
83896.659616805,long,2163,672,280719.9988420034,204.8331467436629,418163.0403070012,182.13744199601933,729.3245956985626,stop,True,
83796.528510764,long,9059,2667,964.6936650096904,196.0803170442596,523714.8189050058,183.91012699430576,721.2555639991479,stop,True,
83807.786160596,long,8820,272,801.4492419897579,210.46238885981947,57836.75662300084,198.63151099707466,690.7078999953229,stop,True,
83829.364680403,medium,221,196,1013.6523709952598,230.58282290771902,45977.30283800047,201.75095000013243,696.6664391450468,stop,True,
