timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T10:39:37.368Z,0,21418,23034,93.0,33.48,71
2026-03-06T10:39:39.432Z,100,21418,23034,93.0,71.84,73
2026-03-06T10:39:41.487Z,100,21418,23034,93.0,71.80,73
2026-03-06T10:39:43.542Z,100,21418,23034,93.0,71.98,74
2026-03-06T10:39:45.598Z,100,21418,23034,93.0,72.06,74
2026-03-06T10:39:47.651Z,100,21418,23034,93.0,71.96,74
2026-03-06T10:39:49.715Z,100,21418,23034,93.0,72.06,75
2026-03-06T10:39:51.770Z,100,21418,23034,93.0,71.92,75
2026-03-06T10:39:53.823Z,100,21420,23034,93.0,52.20,75
2026-03-06T10:39:55.876Z,100,21420,23034,93.0,72.11,76
2026-03-06T10:39:57.928Z,100,21420,23034,93.0,72.02,76
2026-03-06T10:39:59.988Z,100,21420,23034,93.0,71.96,76
2026-03-06T10:40:02.044Z,100,21420,23034,93.0,72.00,77
2026-03-06T10:40:04.101Z,100,21420,23034,93.0,71.90,77
2026-03-06T10:40:06.156Z,100,21420,23034,93.0,71.91,77
2026-03-06T10:40:08.210Z,100,21420,23034,93.0,71.88,78
2026-03-06T10:40:10.273Z,100,21420,23034,93.0,71.84,78
2026-03-06T10:40:12.330Z,100,21420,23034,93.0,71.98,78
2026-03-06T10:40:14.395Z,100,21420,23034,93.0,71.88,78
2026-03-06T10:40:16.450Z,100,21420,23034,93.0,72.03,78
2026-03-06T10:40:18.504Z,100,21420,23034,93.0,72.01,78
2026-03-06T10:40:20.559Z,100,21420,23034,93.0,72.01,78
2026-03-06T10:40:22.613Z,100,21420,23034,93.0,71.74,78
2026-03-06T10:40:24.680Z,100,21420,23034,93.0,71.84,78
2026-03-06T10:40:26.735Z,100,21420,23034,93.0,72.54,78
2026-03-06T10:40:28.788Z,100,21420,23034,93.0,71.83,78
2026-03-06T10:40:30.842Z,100,21420,23034,93.0,71.90,78
2026-03-06T10:40:32.897Z,100,21420,23034,93.0,71.90,78
2026-03-06T10:40:34.954Z,100,21420,23034,93.0,71.92,78
2026-03-06T10:40:37.008Z,100,21420,23034,93.0,71.88,78
2026-03-06T10:40:39.061Z,100,21420,23034,93.0,72.02,78
2026-03-06T10:40:41.116Z,100,21420,23034,93.0,71.68,78
2026-03-06T10:40:43.172Z,100,21420,23034,93.0,71.84,77
2026-03-06T10:40:45.226Z,100,21420,23034,93.0,71.86,77
2026-03-06T10:40:47.279Z,100,21420,23034,93.0,71.90,77
2026-03-06T10:40:49.334Z,100,21420,23034,93.0,72.07,77
2026-03-06T10:40:51.384Z,100,21420,23034,93.0,72.09,77
2026-03-06T10:40:53.433Z,100,21420,23034,93.0,72.09,77
2026-03-06T10:40:55.485Z,100,21420,23034,93.0,71.88,76
2026-03-06T10:40:57.537Z,100,21420,23034,93.0,71.76,76
2026-03-06T10:40:59.593Z,100,21420,23034,93.0,72.00,76
2026-03-06T10:41:01.643Z,100,21420,23034,93.0,71.99,76
2026-03-06T10:41:03.701Z,100,21420,23034,93.0,71.80,76
2026-03-06T10:41:05.751Z,100,21420,23034,93.0,71.93,76
2026-03-06T10:41:07.802Z,100,21420,23034,93.0,71.95,76
