timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T10:41:14.332Z,0,21420,23034,93.0,33.58,72
2026-03-06T10:41:16.387Z,100,21420,23034,93.0,73.47,74
2026-03-06T10:41:18.442Z,100,21420,23034,93.0,71.82,74
2026-03-06T10:41:20.498Z,100,21420,23034,93.0,71.95,74
2026-03-06T10:41:22.553Z,100,21420,23034,93.0,71.96,75
2026-03-06T10:41:24.617Z,100,21420,23034,93.0,71.92,75
2026-03-06T10:41:26.673Z,100,21420,23034,93.0,71.96,75
2026-03-06T10:41:28.727Z,100,21420,23034,93.0,71.96,76
2026-03-06T10:41:30.780Z,86,21420,23034,93.0,52.10,75
2026-03-06T10:41:32.832Z,100,21420,23034,93.0,71.77,76
2026-03-06T10:41:34.890Z,100,21420,23034,93.0,71.90,77
2026-03-06T10:41:36.945Z,100,21420,23034,93.0,72.09,77
2026-03-06T10:41:38.999Z,100,21420,23034,93.0,72.01,77
2026-03-06T10:41:41.053Z,100,21420,23034,93.0,71.99,78
2026-03-06T10:41:43.110Z,100,21420,23034,93.0,71.98,78
2026-03-06T10:41:45.165Z,100,21420,23034,93.0,71.94,78
2026-03-06T10:41:47.219Z,100,21420,23034,93.0,71.91,78
2026-03-06T10:41:49.274Z,100,21420,23034,93.0,72.04,78
2026-03-06T10:41:51.329Z,100,21420,23034,93.0,72.03,78
2026-03-06T10:41:53.382Z,100,21420,23034,93.0,71.96,78
2026-03-06T10:41:55.436Z,100,21420,23034,93.0,72.02,78
2026-03-06T10:41:57.490Z,100,21420,23034,93.0,72.01,78
2026-03-06T10:41:59.552Z,100,21420,23034,93.0,71.93,78
2026-03-06T10:42:01.606Z,100,21420,23034,93.0,71.91,78
2026-03-06T10:42:03.665Z,100,21420,23034,93.0,71.96,78
2026-03-06T10:42:05.726Z,100,21420,23034,93.0,71.98,78
2026-03-06T10:42:07.780Z,100,21420,23034,93.0,72.03,78
2026-03-06T10:42:09.839Z,100,21420,23034,93.0,72.00,78
2026-03-06T10:42:11.891Z,100,21420,23034,93.0,71.98,78
2026-03-06T10:42:13.944Z,100,21420,23034,93.0,72.00,77
2026-03-06T10:42:15.998Z,100,21420,23034,93.0,72.01,77
2026-03-06T10:42:18.055Z,100,21420,23034,93.0,71.98,77
2026-03-06T10:42:20.111Z,100,21420,23034,93.0,71.48,77
2026-03-06T10:42:22.164Z,100,21420,23034,93.0,71.97,77
2026-03-06T10:42:24.219Z,100,21420,23034,93.0,72.01,77
2026-03-06T10:42:26.272Z,100,21420,23034,93.0,71.95,77
2026-03-06T10:42:28.328Z,100,21420,23034,93.0,72.03,76
2026-03-06T10:42:30.385Z,100,21420,23034,93.0,72.01,76
2026-03-06T10:42:32.439Z,100,21420,23034,93.0,71.98,76
2026-03-06T10:42:34.501Z,100,21420,23034,93.0,72.00,76
2026-03-06T10:42:36.557Z,100,21420,23034,93.0,71.69,76
2026-03-06T10:42:38.610Z,100,21420,23034,93.0,72.03,76
2026-03-06T10:42:40.662Z,100,21420,23034,93.0,72.05,76
2026-03-06T10:42:42.721Z,100,21420,23034,93.0,71.99,76
2026-03-06T10:42:44.787Z,100,21420,23034,93.0,71.97,76
