timestamp,category,input_tokens,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
11882.601359766,short,285,256,98.28251500039187,58.80501823529473,15093.562165000549,58.66783799865516,61.356102500503766,length,True,
11882.592563625,short,275,256,196.0660820004705,58.69081617254814,15162.224206000246,58.67727000077139,61.180928179419425,length,True,
11882.596585503,short,280,256,192.11464899854036,58.69178073725397,15158.518736998303,58.661338000092655,60.556484860862845,length,True,
11882.605033027,short,280,256,183.72103099864034,58.69239646274889,15150.282128999606,58.669807000114815,60.635823939483096,length,True,
11882.604331056,short,285,256,184.474126999703,58.692993792161964,15151.187544001004,58.67043299986108,60.72067816097843,length,True,
11882.60212934,short,280,256,186.7243659999076,58.6935465607787,15153.578738998476,58.669000000008964,60.79624472040451,length,True,
11882.599069356,medium,340,256,189.83378800112405,58.69414474117209,15156.840697000007,58.674769001299865,60.8606264802802,length,True,
11882.598225193,medium,340,256,190.72642200080736,58.694776007841405,15157.894304000365,58.678695999333286,60.927528640277174,length,True,
11882.600584058,medium,340,256,188.45022499954212,58.69518262745046,15155.721794999408,58.66846699973394,60.99465462066293,length,True,
11882.597386773,medium,340,256,191.72075200003746,58.69561309803377,15159.102091998648,58.66829499973392,61.46654519947334,length,True,
11882.603617731,short,280,256,185.54368399964005,58.696154811767364,15153.063161000318,58.67352499990375,61.59221308022098,length,True,
11882.595792034,short,280,256,193.41970599998604,58.696695862739695,15161.077150998608,58.66733900074905,61.740943540316955,length,True,
11882.594785663,medium,330,256,194.48411000121268,58.69726604313673,15162.286951001079,58.66246000005049,61.782826400449274,length,True,
11882.593853679,short,270,256,195.51596299970697,58.69760196078905,15163.404463000916,58.66903700007242,61.41343111994502,length,True,
11882.602905221,medium,330,256,185.54922899966186,58.70190719999978,15154.535564999605,58.68829899918637,61.445025259963586,length,True,
11882.599816494,medium,340,256,188.73999200150138,58.70227741175839,15157.820731999891,58.69675900066795,62.20813023901428,length,True,
11898.27298594,medium,340,256,69.10867399892595,59.28526722745315,15186.851816999479,59.17858100110607,65.7248794608313,length,True,
11898.412504051,short,285,256,157.03551699880336,59.32048855686256,15283.760098998755,59.18704299983801,66.33410871992965,length,True,
11898.540197856,short,280,256,149.61380400018243,59.31913366666242,15275.992888999099,59.18804699831526,65.73066922024738,length,True,
11898.501911856,short,285,256,187.98918300126388,59.32061117646477,15314.745032999781,59.181078999245074,65.72901840001579,length,True,
11898.582708124,short,280,256,165.6964350004273,59.32947043136878,15294.711394999467,59.19061600070563,65.72578847939441,length,True,
11898.590233442,short,275,256,158.36135700010345,59.330125666661736,15287.543401998846,59.17026600036479,66.01747464079381,length,True,
11898.657130969,medium,340,256,150.61190099913802,59.31582312156987,15276.146796999456,59.18314500013366,65.79074143937761,length,True,
11898.736089391,short,285,256,136.2446719995205,59.29235917254689,15255.796260998977,59.16752099983569,65.48443552066601,length,True,
11898.785783163,short,290,256,152.8436389999115,59.26239291764111,15264.753832998395,59.18988600024022,64.99955839972245,length,True,
11898.738632025,short,270,256,199.9385959989013,59.265730141180704,15312.699781999981,59.19730400091794,65.01172729997052,length,True,
11898.804063445,medium,350,256,199.4471859998157,59.238704372546636,15305.316800999208,59.1807049986528,64.36046095928761,length,True,
11898.915053103,short,280,256,156.54205499959062,59.19642965098176,15251.63161599994,59.191199999986566,62.6763857407059,length,True,
11898.888513364,medium,350,256,182.9152680002153,59.198115631371884,15278.434754000045,59.185096999499365,62.63587572007966,length,True,
11898.889203276,short,270,256,182.28301900126098,59.199573305879454,15278.174212000522,59.184753999943496,62.64775278068557,length,True,
11899.007670296,short,280,256,182.78307100081292,59.17753890980213,15273.055493000356,59.17737399977341,62.52340113926041,length,True,
11899.096918676,short,280,256,160.02259100059746,59.141349886276124,15241.066812001009,59.18158399981621,60.945323479572835,length,True,
11913.971734189,short,290,256,137.89100300164137,59.22414203920982,15240.047223000147,59.162161000131164,65.55676110023342,length,True,
11914.414196695,short,290,256,152.01737999996112,59.29580501961384,15272.44766000149,59.201907000897336,65.37312040007237,length,True,
11914.424572111,medium,330,256,141.53898099903017,59.29758765490203,15262.423832999048,59.19747799998731,65.47204064030666,length,True,
11914.581445793,medium,340,256,158.29076200134296,59.31595056078068,15283.858155000416,59.204993000093964,65.44606156028749,length,True,
11914.657208607,short,270,256,147.09173900155292,59.29585157646929,15267.533891001221,59.186009000768536,65.52862715947413,length,True,
11914.70390983,short,280,256,159.92461600035313,59.29299150588586,15279.637450001246,59.22021699916513,65.9539975399457,length,True,
11914.706239646,short,280,256,158.1162049988052,59.29358900784613,15277.981401999568,59.1633180010831,65.69995122037653,length,True,
11914.867535952,short,280,256,171.28493000018352,59.29663356470758,15291.926489000616,59.19502800134069,65.50766087984812,length,True,
11914.925985723,short,275,256,179.30054099997506,59.266661168622505,15292.299138998715,59.197440999923856,64.66805654101337,length,True,
11914.946658048,short,270,256,158.93176899953687,59.26759225882301,15272.167794999405,59.17229399892676,65.03543227951015,length,True,
11914.960245098,medium,340,256,145.39762300046277,59.269022780391225,15258.998432000226,59.155237999220844,65.05989102050081,length,True,
11915.241467601,short,280,256,164.814326000851,59.21563554509382,15264.801389999775,59.16983600036474,62.513465700431,length,True,
