Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat/long,50,0,16,16.947016060294118,8.596749001299031,38.973655995505396,0.0,0.09817436696102462,0.0,16,18,19,21,27,29,39,39,39,39,39
POST,chat/medium,3,0,11,10.922839001674825,10.810419000335969,11.07173900527414,0.0,0.005890462017661477,0.0,11,11,11,11,11,11,11,11,11,11,11
,Aggregated,53,0,15,16.606024906032648,8.596749001299031,38.973655995505396,0.0,0.1040648289786861,0.0,15,17,19,20,26,29,35,39,39,39,39
